,date,funny,business_id,text,user_id,useful,cool,stars,review_id
67528,2017-06-29,0,wb-OCJAuP1upOefBs7xljQ,Fun place!  Great food!  Great place to meet up.  They have poker machines at the bar and your money doesn't leave you too fast!  Fun!,WBiBO0wkblwywgiNwVz07Q,1,0,4,SgtRz4yUnJ7pFDWoJXXoeA
114425,2017-04-07,0,wb-OCJAuP1upOefBs7xljQ,This is our secret gem in the northwest been going for a few years and the food and service are awesome. This is a neighborhood bar old school and they know what's up keep it that way!!,X-A5fzOcN0GpcTSCdVJeeQ,0,0,5,F9uhBTfuw_ez6mfIH-H5ow
213768,2016-12-04,0,wb-OCJAuP1upOefBs7xljQ,Awesome little place tucked away across from Santa Fe station. Buffalo chicken dip is good and I heard the steaks were pretty good as well. Quiet local spot. Rob is a great bartender. Give it a go if you're in the area.,bWiBDkA_O9MA0NCgkGdJ7Q,1,0,4,K8L-AvmIaTce0cOQBAhxIw
223241,2010-01-31,0,wb-OCJAuP1upOefBs7xljQ,"Cheap drinks & good atmosphere, sort of far, yet if you're already in the area, it's worth checking it out.",p1mIIRj5X1AExkg3nwNQ0Q,0,0,4,bgwFYY0_VmRwmjsStURjyg
331680,2016-07-07,0,wb-OCJAuP1upOefBs7xljQ,Live right down the road. Our home away from home. Keep up the good work Rob and crew!,J3dCfXLtSfSKB5Ig9nF71w,0,0,5,FXFhVAZECdHAsVU_Diy6HQ
408939,2012-12-03,0,wb-OCJAuP1upOefBs7xljQ,"The one star is for the Pizza & that is being generous.

We came here on a Sunday to watch football, as a last resort. Big Dog's was super packed with Cheeseheads on this particular Sunday.

At first glance, its not that bad of a place. It is pretty dark inside, which I dont mind one bit. The service leaves a lot to be desired. However, they do have some pretty servers :D

I ordered some chicken teriyaki sandwich & it was horrible. The wheat bun seemed a little dry, almost like it was old. My companion was craving a calzone & was excited that there was ricotta in it, so she placed her order. 

Quite a bit of time went by as well as looks of ""hey, where's my food?"" towards our server. So...she finallycame over & said there was some sort of mix up & they sent out the last calzone & that they were out of ricotta now & then it was like Womp Womp Womp, Charlie Brown's F***King teacher, because I stopped listening. So, my friend had to call an audible & order a pepperoni pizza instead. 

Now get this, my food comes out & hers is nowhere to be found. So, being the gentleman that I am, I decide to wait, because it would've been the height of rudeness not to. So, about 10 minutes or so go by & still nothing & by this time my friend is telling me to go ahead & eat & it's ok. So, with great reluctance, I finally gave in. But, I was nice enough to share my fries :D Finally, her pizza comes out & she offered me a taste & it was pretty decent, definitely worth the 1 star.

Our server came out with the check & much to my surprise & satisfaction, they comped both meals & only charged us for the 2 beers my friend ordered. Not too shabby. For that, they get an honorable mention for a 1/2 star.",JUeGFCsprKVUYok4oLsdEA,0,0,1,uGomKr86WeOM8L5JC6SPBg
541679,2014-05-17,0,wb-OCJAuP1upOefBs7xljQ,"AMBER was one of the worst people we ever met... Ignorant and non attentive.. 
Unless you wear your pants showing your underwear or panties.. Pretty skanky and inhospitable.. Seems if you do crank and blow you are in. Never go on grace unless you bring an 8 ball. Days were good
And food was decent... Honest  
JUST AVOID GRAVE with AMBER
Ugh!!!! Really amazed how bad this was",ZzpkBBSsYJBIJZjwWjde-g,0,0,1,rHTD7nbOYQxs0ECu6mziAw
922613,2016-11-24,0,wb-OCJAuP1upOefBs7xljQ,"I think the Santa Fe Mining Company is on par with what you'd expect from a decent neighborhood bar. It has a couple pool tables, a dart board, shuffleboard, a touch tunes juke box, and a few arcade games. What sets this Shit aside is the mellow atmosphere, coupled with one of the best bartenders I've seen around town. Rob really takes care of you, and manages the bar well. The service he provides is second to none, and that is why I will keep going back.",3BNut7PYt80pYydJlK4E3w,1,0,4,TYFlfbWa9Yuzu9ajtZxZsA
1007336,2017-07-14,0,wb-OCJAuP1upOefBs7xljQ,"Went on a Thursday night.  I ordered a BBQ burger combo with a 10 pc chicken wing in sweet chilli sauce.  It was my first coming going to this place.  the waitress, didn't get her name, took care of my order and checked on us often. She made sure we never had empty glass of beer. Recommend pitchers of beer over glass however they do have 24 oz glasses.",2qFODc2N524xKSm7BlkchQ,0,0,5,D_5nlBMvEfW-GbNgrBBQOA
1074622,2013-09-06,0,wb-OCJAuP1upOefBs7xljQ,"Went for NFL kick-off,  What was reportedly a 49ers bar has turned to whatever game is on.  Not sure why they have abandoned the 9'ers.  Ordered a burger with onion rings on the advice of the server after classifying both as ""amazing.""  Burger was over cooked...even tough.  Onion rings were deep fried hard with the centers rather cool telling me they sat for a bit.  My blessed other half did a 12 wing split between BBQ and teriyaki.  Wings were rather good.  Fries were ordered with them and hand to remind the server of the order.  Then she asked twice if she wanted fries.  Now why would we have ordered them?  Did a Coors Light on tap...beer was cold but far from ice cold.  Ordinary bar food, over cooked, short menu selection considering, cold but not ice cold tap beer, mediocre service.  Probably will not return.  Many other sports bar choices that are far superior.",98LIv5G3-aWBLvqG2AZBGA,1,1,2,AvkHaM4ElhB2DxpnAXt4iQ
