,date,funny,business_id,text,user_id,useful,cool,stars,review_id
37060,2011-08-09,0,wyPkRQg3F5Yz2WqRFax7-g,"huge portions... and pretty good prices. about 10$ for burgers. first time i had philly steak sliders and last time i went to vegas, bf and i shared a classic burger. YES the burger was big enough to share... and bf didnt even finish his.
great atmosphere and to people watch.. located right next to the sports area in caesars",67MQ_T4CWS_dvfZdq7l_bQ,0,0,4,q_74Zn88C-EvOsOOJsIEcw
92202,2011-01-17,0,wyPkRQg3F5Yz2WqRFax7-g,"went here for lunch on a thursday. well, late lunch because it was 3pm. there was one other couple sitting in the whole place, and i didn't want to crowd them so we chose a table away from them, only for the server to seat us at the very next table. there were a couple items that thrillist.com mentioned, so i was looking for these (short rib patty melt on sourdough and mini maine lobster rolls w/herb mayo) but they no longer had it. don't you hate that? when restaurants change their menu? this place has been open less than a year and its already changed its menu. that's how i DON'T go back.

anyway, these are the things we got: 

Philly cheese steak sliders
Had onions and red peppers. On a scale of 1-10, I'd give it a 6. I probably wouldn't order this again but it wasn't terrible. There were 3 on the plate but we each only ate one.

Nachos
 This came out first because we ordered these while still perusing the menu. they put some of their house chili, and salsa on it. Chips were really good, like they were just made.

Jalapeno burger (grilled jalapeno, spicy guac)
-i took a bite and it felt like instant heart burn. I didn't like the grilled jalapenos in them.

House chili (with japaleno corn bread and spicy sour cream)
I should've asked if there were beans in it. I really don't like beans. This bowl was huge. I think I had maybe a total of 5 spoonfuls. One, because of the numerous beans. two, because it was really spicy! three, the corn bread and the sour cream were really spicy! four, we ordered too much food.

Pear ginger fizz
This had pear puree, and some kind of domaine chandon bubbly in it. I asked for more pear because I'm a very light drinker. It came out a bit on the red side, and I barely tasted anything pear about it. Needless to say, I didn't finish it. And it lost the 'fizz' pretty fast too.

Our bill came out to $70 before tax.",bioeLZSrNbarmEmkC78SvQ,0,0,3,kCxYrvKfQcFdVX_hUTrIPQ
200092,2013-08-19,0,wyPkRQg3F5Yz2WqRFax7-g,"Hello,

On August 11, 2013 at approximately 2:00 PM my friend and I sat down for lunch and a beer at the Munch Bar.  We ordered beer and burgers from the female server who was less than attentive.  The beers took 15 minutes, the restaurant was 1/3 full.  My $9:00 beer was served with a fly floating on the top of the foam.  

I brought it to the attention of the waitress and she agreed their was a fly in my beer.  She walked away without another word.  When she walked by again I told her I did not want another beer.  

She brought the burger for my friend and the bill without a word about the fly.  

The restaurant is casual and not expected to be high end.  However, for a restaurant and staff who represents the Ceasar's brand I was dissapointed a manager or at least the waitress did not offer an apology or comp the meal.  Not even an explanation.  

I should add our meals and service at Gordon Ramsay's Pub & Grill, The Old Homestead and Bobby Flay's Mesa Grill were fantastic. 

No fan of the Munch Bar.

Check your beer and food first.

Robert............",8nOgAWbyW4Vc273O4bXYsA,0,0,1,pe9rQ2Rz1BIooH2XphGVHw
228299,2013-06-12,0,wyPkRQg3F5Yz2WqRFax7-g,"Can only give it four stars, because I only had a salad.  If a restaurant messes up a salad then I wouldn't even think about eating at the restaurant again.  This is NOT the case here though.  The chinese chicken salad was delicious and the peanut dressing complemented it quite nice.  I was eyeballing a few of the other patrons dishes while I was grazing on the leafy greens of my own plate.  The other patrons hamburgers looked very good.  They had a tater tot nacho's kind of plate that like it could hold over two to three people for a good amount of time.  The only complaint would be that they need to have more than one waitress up front, as the hostess had to take our order.",8dqZba2u5GhEtiebsXaY7w,3,0,4,ZhRg5KmubpkncGRucseaaQ
245688,2010-08-16,0,wyPkRQg3F5Yz2WqRFax7-g,"Stopped by for lunch and had the Chili Cheese fries and Bleu Cheese Burger. The Chili Cheese fries were ok. The Bleu Cheese burger was too salty. I ordered my burger medium rare and it came out rare. 

Service was fine but for the food does not equal up to the prices you pay. Stick to the food court in the casino when it is open. Munchbar is a good option when nothing else is open late at night.",Sy-b7ZWwK5FgWgr_uCkV_Q,1,0,2,vZNRmiFyJG-yg1EX9NWb3w
254474,2010-12-10,0,wyPkRQg3F5Yz2WqRFax7-g,"Pretty standard fare, but it's still tasty. Great location to watch a game and they will bring it out to youif you're in the sportsbook. Philly cheesesteaks are below par but the burgers are hearty and juicy.",BGFyfAOQm_Euanxggz-Y7Q,1,0,4,vLsDPmS7ELyLF7sLJ-aVvw
421977,2013-04-17,1,wyPkRQg3F5Yz2WqRFax7-g,"I'll give this place 2 stars because they had veggie burgers. They were bland and had no real toppings to speak of but it's better than nothing if you don't want meat.

What made this place the pits was the service. We stood in line for 5 minutes while the hostess flirted with a drunk guy in front of us who wasn't even waiting on a table. She could feel everyone staring at her like wtf??, but she didn't care. 

She then tried to seat us wedged in between two other, two person, tables (like a cafeteria?), instead of one of the many other open tables. 

Want ketchup? A refill? Eating Utensils? Napkins? Be prepared to ask for all of them and to have the server act like you are inconveniencing them and they are doing you a favor.",CbmHD1Q2IKI-huFazvGPuA,2,0,2,Ygz_3PQt7tFanY5bld2cPA
515298,2014-02-16,0,wyPkRQg3F5Yz2WqRFax7-g,"I like this place, food is pretty good, I ate there two nights consecutively and the server remembered how I liked my salad, she also split our large party's check for everyone without us even asking which I thought was amazing, most servers get annoyed over a request like that. My only gripe is that they didn't have any nutrition information available :(",cjS00PPesJ80Vvr8b9gcIA,0,0,4,GQJgwDIIiSFdI08OmWth7g
614899,2012-05-17,0,wyPkRQg3F5Yz2WqRFax7-g,"I came to this new lunch restaurant about 5 months ago had the BEST, tastiest shrimp PO boy sandwich of my life.  After 5 months I was still talking about it.  I finally made it back over here long awaiting to taste it again only to find they had taken if off their menu.   Totally disappointed and crushed.   I forced myself to try their turkey sandwich on focaccia which was completely lacking and extremely dry.   At least their fries were still tasty.",Z8MrgZjdp_vSP65zE5LZbg,0,0,2,oGpzn2fvaUZIqoL1gP5b9A
623877,2010-08-08,0,wyPkRQg3F5Yz2WqRFax7-g,"Good place to grab a drink or some quick bite. Much better than fast food, just not fine dining (like you would expect from the name).

Very good fish tacos. Good chicken tenders. 

Cook time can be unusually slow.",IOsbaQ0vs5CLn339M3KbFA,0,0,3,JGxNydeGLN0ptso1aPnFgA
758312,2012-04-02,0,wyPkRQg3F5Yz2WqRFax7-g,"I was there a week ago during a vacation while in Caesar's Palace.  We were looking for a quite bite to eat and found the menu intriguing. 

That's about all I can positively say about Munch Bar. The hostess wasn't up front and it seems like the concept of service here is a free for all.  Our waitress took our order and that was about it.  She was more interested in flirting with the guys that were next to us than serving everyone. 

The food, I ordered the grilled cheese sliders and it looked like a 6 year old made it. The cheese was all over the place, the bread was decent and the tomato dipping sauce was bland. When I sent my grilled cheese sliders back, they did offer me something else but at these point, I was done with this place. 

Overall I would say, walk past this place and try somewhere else.  It'll be worth it!",zBLwbe5C3hC7F5Jij4BxVQ,1,0,1,bU6Lq9ekhFo0bbUJGvYbLA
840243,2012-07-23,0,wyPkRQg3F5Yz2WqRFax7-g,"Went there specifically to try their smore sundae, and the server tells me they dont have any ice cream. :( Thats the only dessert they offer and they dont have it?? My friend ordered mixed burger salad without bacon, and there was bacon in it. But she still said it was very good. And the Bacon Bleu Burger I had was as well. :)",tlTwYeb88BruaeyagJ6qZg,0,0,3,YD46WOm0uF4NBFM4Z5QHLw
860164,2012-04-23,0,wyPkRQg3F5Yz2WqRFax7-g,"I don't think it is 24 hours anymore?  I was roaming around Caesar's Palace and found this place by chance and had to wait until it opened, so I came by later for a late lunch. 

Pros: it's not hard to find, good location, trendy bar/burger & small bites spot, and affordable for Vegas  

Cons: It was my first time and the staff overall was pretty rude.  We were standing at the podium for a while wondering if you seat yourself or wait to be seated.  They just kind of stared at us, so we proceeded to seat ourselves in which she finally acknowledged us and told us to go back to the podium and wait, which was unnecessary because there were only 2 other small groups...

We had to ask her for menus and she took a while with our drink orders.  The bartender saw that we were looking around for our waiter and just did nothing behind her counter.  Once we ordered, the food came out fast.  I got the Munch Burger which came with fries.  The burger was JUICY and the fries crispy so I can't complain.  The fries are enough to share.  My friend got the sliders, which he enjoyed.  

I would have given them 2 stars because their service and staff were horrible, but their food made up for it a little bit.   

The portions do look small, but it's sure filling. Overall, I left tummy stuffed and curious!  I'd come back to try their munchies and other burgers.",BH_HKhJcoCg7hsL8ezCYxA,0,0,3,QpX4ECLXWu7FPADXs_Ga4A
871168,2014-06-09,0,wyPkRQg3F5Yz2WqRFax7-g,"While on vacay, you eat & drink. This place just happened to be right there when we felt the need to continue to stuff our face with more food.

We decided to order from take out rather than sit down. Ordered the loaded waffle nachos. They were yummy. Service was good too.",cengfyD_wMuCp9wWx1vr5g,0,0,4,nTC03eSEYYAxbqoWtPOf2w
879939,2010-05-27,0,wyPkRQg3F5Yz2WqRFax7-g,Nothing special about this place at all especially since most entress are in the $15 range. Combine that with a $3 soda and you're talking about a $20+ lunch. Just not worth the price unless maybe if you're drunk coming out of Pure.,C5ReadvmmWYOvMB3RDX3bw,0,0,2,d6OHu3PrI0urTCWdvof9uA
888556,2011-04-19,1,wyPkRQg3F5Yz2WqRFax7-g,"This place was ok. We were looking for a quick bite to eat &  were seated quickly and got our drinks. The food which was only a salad and some sliders took FOREVER!!!  After sitting at this place for approx. 30 min. the food finally shows up & then go to pay and the waitress is MIA. I was starting to see a common theme while visiting Vegas that all the restaurants were extremely slow, and didn't know how to hustle. This place was also not that crowded, the people working there were just S L O O W!!!",fBLUhZp4ICZ45JSYxuXtjg,1,1,2,7rVQjCXRWheebLSNFzzo3g
915103,2014-04-05,0,wyPkRQg3F5Yz2WqRFax7-g,"Most of the food they serve is out of the frozen isle of a grocery store. The fried mac and cheese balls are just fried cheese balls, theres not really any mac and cheese. The burgers are all from frozeb patties and they are ugly and taste burned and kinda cold. They grilled cheese bites are just buttered bread with a slice of cheese.",sBu1XrSVogM1CeoB-o4xbg,0,0,2,ydO_7l37QiKOKLQh8zu9Lw
918080,2012-08-28,0,wyPkRQg3F5Yz2WqRFax7-g,"Really more like 3.5 stars....but bump to 4 because maybe it's like a 3.6 or 3.7, whatever.  The hostess and server were very friendly.  Everything on the menu looked good, but I decided on a turkey sandwich so I could split with a friend (who was not as interested in the more ""intriguing"" items).  We substituted tater tots for fries, but after seeing the sweet potato fries wished I had gotten those!  

The food took a really long time to come out.  When it did I was pleasantly surprised to see that,  a) the server had noticed we were splitting and had brought it out already split onto two plates; b) the portions were so huge that we double checked that it was one meal split even though they told us when they dropped off the food and: c) everybody's dish looked yummy.

Had the service been faster, would have been a solid 4, but the friendliness and courtesy bumped my 3.5 up to a 4 rather than down. :)",Q-eBrymjTE2jhhr_2kof5Q,0,0,4,iWI8aAizz71E2dP3c5YJDQ
924919,2011-01-29,0,wyPkRQg3F5Yz2WqRFax7-g,"Good service, food comes out quickly and location is convenient.

Went to Munchbar a couple of times for dinner and late night snacks.  Highly recommend the sweet potato fries (with 4 dipping sauces), grilled cheese sliders.  Burgers and sandwiches are huge and come with a ""bucket"" of fries.",IdBYQkA6_cay0z9Yq7Ko_g,0,0,3,fDx8IdzLA9AKLWfRSB-Q-A
