,date,funny,business_id,text,user_id,useful,cool,stars,review_id
36411,2017-08-30,0,xP2zIIqXxW8QNiJqJyE92A,"Great food, great staff,  great vibe. I never write a review but I just had to for this place.  We will be coming back to China Passion often.",pKIFGWmnqn7yBQMLLJma6w,0,0,5,ov8JviLJ7aPK6tMwpFoGYg
441030,2017-10-18,0,xP2zIIqXxW8QNiJqJyE92A,Great service from the moment I walked up to the cashier.  I ordered my favorite (Mongolian beef) and something different (Chinese eggplant w/ fried tofu) and was pleasantly surprise at the portions I was brought for the price I paid. And everything was excellent.  Definitely a repeat for Chinese food.,2thJ6zu5H_sfNeHdgfGkSA,1,1,5,9ZaeuEAKPdk7qGOv6gPytg
1108090,2017-11-17,0,xP2zIIqXxW8QNiJqJyE92A,I don't know why this place has good reviews.  It was horrible!   Chow mein mushy and cold.  Chunks of cornstarch in It.  Lemon chicken was hard as a rock.  Couldn't even cut It with a butter knife.   I will not be back.,-Dzue1b_x1uaa8HzkzbwAg,0,0,1,fyHzeH8ZuvybPlV-6jcH3w
1167717,2018-03-10,0,xP2zIIqXxW8QNiJqJyE92A,"I read the reviews prior to going to China Passion. I was not disappointed at all. The food was very good and hot. I ordered the individual 1/2 service and they're was enough food for 2 people. Needless to say I'll be having Chinese food tomorrow. There was a lot of food in the main course, egg roll, and fried wonton, and wonton soup that had 5 wontons. It was all delicious. This will be my go to Chinese restaurant from now on. Best of all it's only 3 minutes from my house. Forget Panda Express. My new passion is China Passion. The only caveat was there was a table that needed to be cleaned. When the plates are cleared, the table should be cleaned. This is what kept me from giving the testament a 5 star rating",xUfZnjMAujLV5rvm1NAzqA,0,0,4,RNrdkxGR3WHbzW1rTlSEvg
1185061,2018-02-04,0,xP2zIIqXxW8QNiJqJyE92A,"For reference, I am half Chinese and my dad owned a Chinese restaurant in Portland, OR my entire childhood. The staff here at Passion China was very friendly, our order was completed quickly, and the good was great! They even separated my Hong Kong noodles from the sauce for our take out, which I appreciated. The portions were generous, too. We ordered Orange Chicken, General Tso's Chicken, Hong Kong Noodles, Beef Chow Fun, Sautéed Veggies, and veggie Egg Rolls. My only critique is that the General Tso's could have a bit mire sauce on it, and it wasn't very spicy. Otherwise, everything was great. We will be back!",lIdx8wxshD9JQH821tWSxA,1,0,5,jtNUii3PNkUkttoT9f80LA
1456359,2018-05-20,0,xP2zIIqXxW8QNiJqJyE92A,We are happy to have found great Chinese food in our neighborhood. Everything we have tried has been fantastic and the staff is very friendly.,oBpajsM1HXWfO-m5BG48QA,0,0,5,9NYsGtrLknSFWaSaOTYxJg
1514948,2018-02-24,0,xP2zIIqXxW8QNiJqJyE92A,This food was so delicious even my one year old cleared her plate my favorite Chinese food place now it was so flavorful and fresh and the food was to die for my kids loved it I loved it hands down best Chinese food I ever had,3Li6FzHzN6nOsAgs276c-A,0,0,5,Oefv3er7302QBSnwUEJFJQ
1768445,2018-01-28,0,xP2zIIqXxW8QNiJqJyE92A,Last night was our first time thing China Passion. They have just become our regular. Even better the next day! The food was tasty and hot when it arrived. So many choices can't wait to try something else.,gGONDOKNPbny2YNRgPYZJw,0,0,5,Wa-s1dO_PaAOuB0xBnq4pQ
1801357,2018-05-03,0,xP2zIIqXxW8QNiJqJyE92A,"Fast, clean, fantastic service. Huge portions. This is our number one Asian restaurant.",fdPvP7nN3OtQ0T3lMSYbyQ,0,0,5,30mWoANtgRHx9AfIlCxFpw
2087126,2017-09-19,0,xP2zIIqXxW8QNiJqJyE92A,"If I could give this place 10 stars, I would. My husband and I ordered takeaway on Saturday. Husband ordered me the spicy eggplant with tofu while I waited in the car. I saw someone run out the front door and then come back a few minutes later. Husband came back with the food and told me that they had run out of eggplant and actually RAN to Walmart to check if they had eggplant before apologizing for not having any. Talk about amazing customer service and kindness! I was blown away. Ended up getting tofu and veggie stir fry but they sent us home with extra egg rolls and a whole extra meal! I just would like to thank you so much for such kindness and for such amazing food. We will definitely be back. Keep up the incredible work/service guys, you're going to do great!",YizM5G4hETgIP22D-FRrFw,1,0,5,_eNeqzF9grGVe-TWN5g1Vw
2117502,2018-03-31,0,xP2zIIqXxW8QNiJqJyE92A,"Tried this place out because of the 4.5 review. Ordered take out: crab rangoons; ""butterfly"" shrimp; BBQ pork Chow Fun; Hunan Beef; Sweet & Sour pork. 
Crab rangoons tasted fishy 
""Butterfly"" shrimp were sticks not butterflies & they were greasy, more fried batter than shrimp
Chow fun was dry and flavorless
The Hunan beef was fatty but very crispy
The sweet & sour pork sauce smelled and tasted terrible, something was definitely off. The pork was very crispy but the sauce was inedible. 
Also ordered a side of steamed rice, it was old and tough. 
The chili sauce also tasted off. 
I instantly got a weird smell when I walked into the place and the entire order was disappointing. We all felt sick immediately and now our stomachs are paying the price. Everyone who ate it is feeling ill and we are all fighting for the toilet. Maybe if Yelpers left 5 star ratings on places because of the quality rather than dirt cheap prices this disgusting food wouldn't have received such a high rating. So disappointed in the place, and in Yelp for being full of people who only care about deals and quantity,  not quality. What a shame.",hMRm1OFJy_-bwCVMobbmxw,0,0,1,QaZo8eQ4UsJqKoDTXFJ_lA
2148252,2018-01-10,0,xP2zIIqXxW8QNiJqJyE92A,"This is our first time to order for delivery. We ordered Mongolian Beef, Orange Chicken and Hot and Sour Seafood Soup. The delivery was prompt,  the food was delicious, the serving portions fed us three with leftovers for another meal and the bonus egg rolls were flavorful.  The staff are very helpful, patient and courteous. This is our new extension to our kitchen and we are already looking forward to dinner tomorrow night.",2hMfi__d3ESxdWYENT341A,0,0,5,-iDkdFKXL6EA1bkWLQHcwg
2252892,2018-01-01,0,xP2zIIqXxW8QNiJqJyE92A,So happy to finally have great Chinese food !!  The portions are huge and the food has amazing flavor. They have real BBQ pork fried rice. Not every Chinese restaurant has it.  Favorite was the combination fried rice and the New York style noodles. Everyone I have sent here absolutely loves the food.  This is a must try,zYjlWXeDzFez5X2IwYZq7w,0,0,5,cq6DZQGbCyxvV509wsLpWg
