,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4176,2016-09-24,0,xk-fOf_M39kDTgzfVgu0Tw,Went there today for a gluten-free lunch. Had the signature pasta with quinoa pasta and chicken it was awesome!!  I highly recommend it.,JGpwdNCD1lZFkpPZbcqSOw,0,0,5,oUyAKw5-Q0-e17YcqiBNFA
23604,2015-06-13,0,xk-fOf_M39kDTgzfVgu0Tw,Myself and the crew from the Downtown Podcast had a delicious brunch at this convenient location.  All of the healthy menu options were the perfect balance to my mimosa. Kathy was such a great host and the service is great! Highly recommend this place.,rimTFFvWuphXe-FQyx60xg,0,0,5,gIN2qo5Cs0F3kBMvw62JzA
26608,2014-05-14,0,xk-fOf_M39kDTgzfVgu0Tw,Love having a Rachel's Kitchen in the neighborhood.  Service is top-notch and you can't go wrong with their curry chicken salad or the scrambled eggs with tomato & basil for those rough mornings.  ;),QRXsIlJoL_Ar7IRzU94jzg,0,0,4,Itnuojd95A406DuasX8T1Q
50894,2015-12-30,0,xk-fOf_M39kDTgzfVgu0Tw,True disappointment. Bland food and long wait for it. The service was the only positive part.,dvqMNKV3wzXiiJnwAqv2KQ,0,0,1,jo-m9LEzuT8ex5tiEzaDVA
62392,2014-03-06,0,xk-fOf_M39kDTgzfVgu0Tw,Great service and amazing food . Great quality for the price . They catered our holiday brunch and were amazing . They worked with our budget and were so helpful and friendly . Everyone loved the food . Can't say enough about their service .,iNfncg-Im_-dzfOwWuuLyA,0,0,4,ucGJ21g0pQQc09Et9DMjZw
77701,2015-11-21,0,xk-fOf_M39kDTgzfVgu0Tw,"About a month ago visiting me and my sisters went to get smoothies and this was the closest place on Fremont besides getting alcohol. Anyways I ordered 3 smoothies, my sister got a peanut butter smoothie and it was disgusting so we wanted to exchange it. The manager, can't remember her name but she gave us a $3 discount off instead of just exchanging it for free. So I still came out of pocket $5 for another smoothie. Because of that I will never be visiting that place again, overpriced $6/$7 for a smoothie. Might as well go to Jamba Juice and pay the same price for a quality smoothie with great customer service! DON'T WASTE YOUR MONEY AT RACHEL'S KITCHEN!",1v8n-jFNyuEW4rBdTgT4ZQ,0,0,1,_b0SFaqjbTTWpYborQwM2w
80694,2014-10-30,0,xk-fOf_M39kDTgzfVgu0Tw,"Good place to go and eat healthy! I went there and I ordered a hamburger. The portion is good, I was full by the time I got done with burger. The price is a little steep but it was well worth the burger.  The place is nice clean the customer service was great. I will return fora good healthy burger again.",MhjSxYU2tjB9OS8GBbneGg,0,0,4,HC7XzExA8T3QUaKYOhO78Q
89898,2016-03-25,0,xk-fOf_M39kDTgzfVgu0Tw,"Love! Love! Love good coffee! 
Just discovered recently how great is the cappuccino here. Definitely like caramel  flavored coffee. 
So, when you decide whether to get only coffee or something else too, this is the perfect place to try. It's located in the beautiful Downtown of Las Vegas.
Besides coffee, there are many different pastries and various entrees to choose from.
After entering into the restaurant, you get in the line to the cashiers, where the drinks and meals can be ordered, and paid for. Afterward, the cashier gives you a number, what you place on your chosen table, where you will be served by waiters or waitresses.
Pretty easy process!
I visited Rachels twice last week, while I was doing business in the Area.
Both times I ordered a Cappuccino (large) and Chocolate Cookie (warmed up), and my friend ordered a Grilled chicken  Salad. 
According to my friend, the salad wasn't too bad, but unfortunately not very good either.
I absolutely loved the cappuccino and the cookie! 
I'm sure I will be back to try other items from the menu! And of course to enjoy the amazing coffee",nxYGublG8jGGCZ8-eFK1mg,0,0,5,tVweFoES19JARLYYNWNOgA
92255,2015-09-04,0,xk-fOf_M39kDTgzfVgu0Tw,Delish! Enjoyed catering from Rachel's during our retreat with The Mill. The salads were so fresh :),PprJz2K1E2GxWacTLhkLHQ,0,1,5,N9J-focOx5Rwv7WbCNgmHA
96793,2013-08-09,0,xk-fOf_M39kDTgzfVgu0Tw,"I work not too far from this Rachel's Kitchen. Our office usually orders from here once a week, if not more. They do deliver which makes things a lot easier on us. When I do go in to either pick up take out or sit down, everyone there greets you as you walk in and are extremely nice. 

The food at Rachel's always tastes so fresh. Which i love. I'm also vegan and they have a really good veggie wrap and salad i'm able to order. The fresh juices are to die for, especially on a hot day when you don't feel like eating too much. 

The food does take a while to get out, but it's worth the wait in my opinion. They also have a nice breakfast menu.",M7PzIoC9gK42XgC1w_gYmg,0,0,4,eWynAH6rWoOaLwfD0S3mCw
136364,2014-06-13,0,xk-fOf_M39kDTgzfVgu0Tw,"My Wife and Myself love this place! Great menu, service is excellent, tasty food and juices. A big plus is they deliver, although we sat in their dining room which was clean and inviting. 
What a refreshing little oasis in this mad city!",9sq7ywtXBn3gHx01j5yvPA,0,0,5,j63T1A7jNG_NSVNInEg5Sg
169224,2015-08-25,0,xk-fOf_M39kDTgzfVgu0Tw,"Love Rachel's Kitchen! Not sure who Rachel is ;) but Caron & Kathy are the best partners I could ask for when it comes to catering orders. Thank you guys! 

Also, my personal favorite is the BBQ Chicken Wrap with sweet potato fries. Anyone out there that is not sure what to order... can't go wrong with this wrap. 

-Jeffa :)",Bz7OqWVeqe7GYJRuDz_xYg,0,1,5,vxI5KJAuGFInB1qxVws-Mw
191106,2014-09-24,0,xk-fOf_M39kDTgzfVgu0Tw,"The sandwiches are very good, leaving you with a ""clean"" feel. Deliciously light and satisfying. If you're going to indulge a little, swap the side salad for the fries, onion rings, or the sweet potato fries!

Breakfast is always great too. Who can resist a hearty breakfast burrito. Definitely one of my stables. Thanks Rachel's, you guys are awesome!!",jT0ZkBZ0W1W3T4oj0a-pzA,0,0,5,zQPWIAsjB6CzzKUcBiaCjA
219985,2014-09-04,0,xk-fOf_M39kDTgzfVgu0Tw,"Great fresh meals,juices, and smoothies. To avoid the lunch rush best to go before 11:30. I prefer the sweet greens fresh juice.",CcUy-q3YcCklweZsG63cag,0,1,5,E63qrhAFNIQ0333V79kgjQ
222830,2015-08-05,0,xk-fOf_M39kDTgzfVgu0Tw,"Love Rachel's Kitchen and especially this location! The food is always fresh, staff always polite, and ambience always inviting. They are excellent for catering as well. They make ordering easy and delivery and set up are efficient and organized. So many delicious options on the menu...I love Rachel's Chicken Salad and usually get it in a lettuce wrap, which they'll do for any sandwich. It's definitely a spot worth checking out!",M949R0MsatXBMn8mPyUfsg,0,0,5,u0E3SIU3MdbU7U86jdzwmA
224007,2013-07-23,0,xk-fOf_M39kDTgzfVgu0Tw,"I'm a Rachel's Kitchen fan and I am happy they opened up downtown. We used to frequent the one in Summerlin since we lived there and have always loved the food...especially the breakfast.

Here is what to expect every time you go...
1. Look at menu and have a hard time deciding between the good options.
2. Order is always taken quickly.
3. Find a table and prepare to wait a little more than you think you have to because they are making things fresh in the back. Sometimes this wait gets aggravating.
4. Food comes to the table and you get to enjoy the goods.

That routine is pretty much how it goes every time. I recommend the breakfast burrito!",9u9fQhq0hynxjLQgZGpmSA,0,0,4,9xfEnOm_jX-H3UGEHhWhAQ
271317,2014-02-07,0,xk-fOf_M39kDTgzfVgu0Tw,"Cool location and great service!

The house pasta was large. It had penne pasta, chicken, sun-dried tomatoes in a cream sauce. We split that among 2 women and the portions were still decent. Very tasty!

Soup of the day was cream of mushroom soup which came with some bread. Not too crazy about it. Perhaps it can use some more whole chunks of mushroom to give it some texture. Maybe the pairing of the cream of soup with the cream-based house pasta was just too rich.

The employees were friendly, attentive, and helpful.",5jgGp15H_0GRS_daM2AC7A,0,0,4,T6g7miHbxTUysN1-omYSgw
310781,2014-01-21,0,xk-fOf_M39kDTgzfVgu0Tw,"First impresion was that this place was very, very clean. Counter-service restaurant with lots of good sounding juices on the menu, although it is not clear what is in any of them. Four of us ordered breakfast items: omelettes, eggs, fruits, toast, which were good. Went again a second time for salads, which were very ordinary and not at all worth the high prices. Go for breakfast and maybe juice; skip for salads.",yK4DXCY_bcdkDOH4uJyamg,0,0,3,0l6yNaaoRK2gH8T2Hfk7kA
369659,2017-07-28,0,xk-fOf_M39kDTgzfVgu0Tw,The front counter people were extremely rude. They showed no enthusiasm whatsoever and were barking orders at me to move out of the way when I was waiting for a to go order. The wait time was almost 45 minutes as I watched other orders get made and stowed under the counter. They were not careful about bagging the order and sauce was everywhere in the bag - probably more in the bag by the time they were done then on the pasta itself. I would look elsewhere to eat and avoid the hassle. There are plenty of better places nearby.,Pkgt1C1o21ZGzz3z8U1mVw,0,0,1,Ap3tPTsJWDUTr1bK9jB7dg
370212,2015-03-31,1,xk-fOf_M39kDTgzfVgu0Tw,I love Downtown and healthy food so I had to check this out.  Very nice environment.  Service was very fast and friendly.  I had a turkey burger with a side salad.  Burger was perfect.  I will definitely be back to try other items.,Z6e_nDUe78prQinSXmTTkA,0,1,4,92RslblvHH9jiR9E2yIJrA
381952,2015-03-10,0,xk-fOf_M39kDTgzfVgu0Tw,Start thinking HEALTHY and TASTY! This Rachel's Kitchen at the Ogden offers a sweet ambiance along with their great food. I can always count on checking the box that I did something good for myself by ordering with health and nutrition in mind. I had an incredible sandwich loaded with fresh grilled vegetables and a wonderful juice with fresh ingredients. The staff are always above and beyond friendly and helpful when selecting my meal.  I have frequented many times and they are always doing something fun for the community - last time they had a guitar playing background music. What a great addition to the downtown area. Try it! You won't be disappointed!,SaJZ-ZLr28PJtcToR_ul7w,0,0,5,qiGV9jlln5VdXRYjt6oWyg
403309,2015-02-08,0,xk-fOf_M39kDTgzfVgu0Tw,"Stumbled into this restaurant on a Saturday morning. The staff was more than helpful and the breakfast burrito was perfect to split with my friend, as well as being delicious. I ordered an iced coffee that came with milk in it that I had not asked for, but the service more than made up for any shortcoming with coffee. I will definitely return!",J329e2OXV35qHyLoTLcMqw,0,0,4,_FecDlINYW1Mlsrkgnflnw
436970,2015-08-15,0,xk-fOf_M39kDTgzfVgu0Tw,"I love Rachel's Kitchen. BBQ chicken salad and tuna salad are excellent, especially if you are trying to lay off those carbs. Also, the downtown location is great coffee and meeting spot",SBbp02qfHiQDTITjaKO2Gw,0,0,5,Bfv1RFqMfgSYOzek7X-nVA
445268,2017-09-02,0,xk-fOf_M39kDTgzfVgu0Tw,"Can only review the acai bowl.  I've never seen an acai bowl like this before, some kind of brown sludge, I guess because it's blended with bananas?  No acai taste and not cold, just tastes like a lukewarm banana purée.",59gG-O3WPmDz9GSFLBWQqw,0,0,1,iB3dfde8bGVpSCC3ZlKPpA
454217,2017-09-05,0,xk-fOf_M39kDTgzfVgu0Tw,"I ordered from here often. I work at a business downtown and they are walking  distance. I absolutely LOVE the turkey club.. However, the last 2 times issues.. First melted plastic on my onion rings.. I gave it a pass.. Though I took pics.. Then I tried for the sweet potato fries they were AMAZING!! However, my turkey club had no bacon.. I wrote to them and they said ""what's club without bacon"".. That is the reason for the 1 star.. Not I'm sorry, or since you order so often, let us give you extra bacon next time.. Something more than ""what's a club without bacon"" would have been more of a professional and caring response..",XmVXCgj07ga8qXU1Vmukcg,0,0,1,XKdkb18YA5igk8uwVW5-iQ
463713,2017-12-03,0,xk-fOf_M39kDTgzfVgu0Tw,Justin was so friendly and nice. The vege burger was fantastic. Great atmosphere. The music was very Rock and roll.,0h6bH8Aotur9yzsOZRNKCg,0,0,4,6ifci6Np6yCXat3D7ngDAQ
478612,2015-03-02,0,xk-fOf_M39kDTgzfVgu0Tw,"When I set my New Year's resolution to eat better and workout more (same resolution as last year), I was worried that I wouldn't be able to enjoy lunch out with my colleagues anymore. Working Downtown at The Mob Museum, it can be hard to resist temptation - thank goodness for Rachel's Kitchen! It's a great atmosphere with even better food, and there's something for everyone. I've tried several menu items and am never disappointed. The best part is, my coworkers can still have pasta or a burger (with more wholesome ingredients) and I can grab something off of the lighter menu. Short on time? That's no issue either. Rachel's Kitchen is not fast food, but a great, quick meal.",A_n8VaF8cv8-eBNz84no7w,0,0,5,ICPQv-0BeE40jJHUzpUKMA
498972,2015-05-07,0,xk-fOf_M39kDTgzfVgu0Tw,Kathy Wilson and her team who run this location are amazing.  The customer service is unparalleled.  The food is always delicious and served to you with a huge smile.  The environment is welcoming and comfortable.  It is like you are home with friends just hanging out.  They other amazing thing about Kathy and this location is they are super involved with the Downtown community.  They are the perfect partner if you need catering for an event or just fun evening with girlfriends. I can not say enough good things about the staff and the food.  It is a guaranteed win!!! Trust me and just go :),We93BCYJI37JJw78aOupCg,0,0,5,wkRzN-SsoyXxW-LZYi6k8Q
