,date,funny,business_id,text,user_id,useful,cool,stars,review_id
63090,2016-10-21,0,xowy4YxBXXGOYuajsxjwkA,Thumbs up. Among all the garbage places around here this is a real place for a quick meal and great micro beers. Found it theu Yelp!,qZeK_wUFsDo4e1o7h0L5oA,0,0,5,lshzKWD0ivkof6diOyzCvQ
136113,2016-09-10,0,xowy4YxBXXGOYuajsxjwkA,Amazing food!  We had the BBQ pulled pork fry and we devoured it.  Makes me wish we were town longer to try more.  I definitely recommend and would come back!,EdaQRbGsyWF8LV5klCC6-A,0,0,5,eGoRVfb8oFwWdD4nOGXNlQ
208393,2016-06-01,0,xowy4YxBXXGOYuajsxjwkA,The food is excellent and the owner is absolutely gracious as can be.   Highly recommend getting beers at the nearby brewery and then getting food here.  We had a spaghetti sandwich that was amazing!  Definitely going back!,60vbxI5Luj3qACu7rgUQnA,0,0,5,cM5o-QQW7g8Zjty6YIDV5g
252372,2017-09-02,0,xowy4YxBXXGOYuajsxjwkA,"On my first visit to Banger Brewing we were just looking for a place that had a happy hour in a Sunday, now two years later back for the happy hour and hungry we decide to give Food Junky a try. Fist thought that popped into my head was wow it's pricy, then the food got to the table and after the first bite I knew that I was wrong, it's priced right. I had the Barbacoa tacos (there are three) and they are loaded with Barbacoa, and we also ordered fries "" Mexican Loaded"" with a side of jalapeño peppers. The fries were awesome so tasty with beef and chorizo on it. But, then, I had a jalapeño pepper and was blown away by how good it tasted, thin sliced and crispy and marinated. So good it blew my mind, the young lady running the food cart was super nice, she was engaging when asked about the food and was willing to allow samples of non dull house pickles, another very good item. If your on Fremont and want good beer (my fav is morning Joe, it's a coffee beer) this is a great place to stop in and take a rest from the heat. Enjoy!",qjJpvhWXfz4CQgabmqFD4A,0,0,5,aEIShQl26lpVSwDKREqUmA
301926,2016-06-24,0,xowy4YxBXXGOYuajsxjwkA,"I am pushing 50, and I have enjoyed more than my share of great food. That's the context for this claim: My meal tonight at LV Food Junky featured the single best piece of meat I have ever eaten -- period, no exaggeration. The perfectly-cooked and sublimely-spiced pork loin was accompanied by a yummy slaw-like salad. I started with the bacon popcorn, and I finished with a few pickled raspberries and a homemade cookie -- delicious, every bit of it. What a find this place is! Plus, Chef Maritza has to be one of the friendliest, warmest professionals in the business. Cheers and blessings!",2euaCuZ1VC2Tam5Wi41Wcw,0,0,5,X8vZE2ulQiGyU-HexE93rw
404012,2017-05-14,0,xowy4YxBXXGOYuajsxjwkA,"This small venue really has good food!  I was skeptical until people said it was pretty good, so I tried it and was impressed! My fat ass has had 4 different items and loved every one of them.  I will be spreading the news and returning here for sure.",N8oHzlYZdCXBFEZ2-XuayQ,0,0,5,tUJWo5AsaZYvc9WojJi6eQ
449847,2017-08-19,0,xowy4YxBXXGOYuajsxjwkA,Food Junky is the best place to grab a bite on Fremont Street! They are located right outside Banger Brewery. They might look small but they pack a huge punch! You can't go wrong with anything on the menu and the staff are some of the nicest people on the planet. Chow down at Food Junky!,yL7VpyficfhBI1tZgZxd4Q,0,0,5,UlRpVDntl5bp3rsAIQY_ng
467040,2017-11-04,0,xowy4YxBXXGOYuajsxjwkA,"We ordered the Korean loaded fries and they were amazing!
Great price and wonderful flavor.",Sq01ORwU-9oIwX-uD6SmkQ,0,0,5,elfQEeVYSXqBvk2uK5nHmw
572943,2017-02-17,0,xowy4YxBXXGOYuajsxjwkA,"So amazing! Had the loaded fries, bacon popcorn and regular fries with ""crack sauce"". Would give it more stars if possible. Best food on freemont street and the woman making the food was super nice. My husband was really happy with the Korean BBQ pork!",jXuEb7mi5PxB10eUazOlrw,0,0,5,wET8nV3_GfeltX-_AFlFeQ
600521,2016-05-24,0,xowy4YxBXXGOYuajsxjwkA,"We stopped by Food Junky twice since our stay in Vegas, and it was phenomenal! We ordered the tortas and the shrimp ceviche and it was out of this world good. The food was so delicious we had to come back...probably would've ate it every day if we could have And, not to mention the food paired perfectly with the beer from Banger Brewing.",FiBceYJ3ghOsKgMrKu-Tig,0,0,5,dfTa8OGsHBifo2Yy3HuLtQ
610683,2016-04-12,0,xowy4YxBXXGOYuajsxjwkA,"The service is high quality, matching the flavor of the food!! Food is always made with the best ingredients and served with a smile!!",Q-IFF675oJqJsD-qUChwSw,0,0,5,6WhJc_oVkeFeut_jJW5e6g
707239,2017-03-23,0,xowy4YxBXXGOYuajsxjwkA,"This food is amazing!!! We traveled here from Phoenix and were pleasantly surprised by Maritza's menu, she is SO friendly and accommodating and offers vegetarian and vegan alternatives (but the pork sliders are the best). So worth the stop. We met her at the banger brewery tour ( also a great experience)",GLTl2dlyqARZvXwGp-SCcg,0,0,5,_8AXPlkwKBBx7XONcos4_Q
729792,2017-07-23,0,xowy4YxBXXGOYuajsxjwkA,I love this food stall outside of banger Brewery. This is just what the bearmunchies ordered! Barbacoa fries and an el heffe coffee kolsch,kEKh2nkKX2VDVRK1aa-EAQ,0,0,5,ravXFMtYV3QAb925v8aE2A
948938,2016-04-05,0,xowy4YxBXXGOYuajsxjwkA,"Very friendly service and excellent food that goes well with the beer from Banger Brewery 
A must stop on Fremont St. Don't miss it!!!!",P4S5cLE5FmrghB7whq2bZw,0,0,5,gpLPGUlAgUEoDzim_tbndQ
979983,2017-08-20,0,xowy4YxBXXGOYuajsxjwkA,"This place is amazing!! We had kimchi pickled veggies and I can't stop thinking about them. Between the group of us, we shared an order of Barbaboa fries and an order Korean BBQ fries. The fries were perfectly cooked and topped with super tender pork and homemade sauces. Don't let this little stand fool you, this place will blow you away.",D1NWJoojytTWYV61aaLAuQ,0,0,5,iV_Mp1NrQX5K74g90H7Vdw
1016033,2016-03-20,0,xowy4YxBXXGOYuajsxjwkA,"Pork ribs were super tender, fall off the bone!  Glaze was yummy, slightly spicy, and didn't overpower the pork.  The vegetable slaw was tasty, uniquely prepared including green peppers for color and flavor.  Definitely want to try some of their other dishes!",cDSOe0MuZr8c4ctrS6PM9g,0,0,5,imoLQrmaNLlNZWyaboG5cg
