,date,funny,business_id,text,user_id,useful,cool,stars,review_id
15264,2013-07-21,0,yVmJdzstj6fQf7DyObvB7A,"Stayed in Vegas and needed a late night delivery place....Found this place on the EAT24 app. We were craving Philly Cheese Stakes so my BF and I each ordered one. They took FOREVER to get to our hotel and once they were there the delivery guy wasn't too smart as to trying to find our room. (In his defense it was a little confusing and quite dark) Once we got our food up to our room it was slightly cold....The sandwich had good flavor but it could've used more ""STUFF"". The filling inside of the bread was a little on the short side....and the bread was a little hard/burnt in some areas. But mostly good. I am a person who loves salt and doesn't mind it on my food....however, even for me the fries had waaaayyyy too much seasoning salt on them. It was like they poured it on and the top fell off and smothered the fries. My boyfriends were salted fine though...just mine were a little much. Overall, not too bad for a place that has free delivery and stays open pretty late. Good for Vegas!",2knKmIS2P26HkfiuHUEl1Q,1,0,3,GwXGUvHnGuqcOLWCgXvRmw
61232,2012-12-25,0,yVmJdzstj6fQf7DyObvB7A,"Really...waited an hr an 50 minutes, and they advertised 45-60 minutes. Go with Pizza Hut, as the quality was not that great. Pizza and burger was ordered. Shouild have went with my gut and got taco bell. Over prices, false advertising, poor quality food and poor customer service. I should have really listened to the reviews, that is my fault",c4xaLlRE02TfYGRYYdV1AQ,0,0,2,L3mqOG_l9UeSH2ufRnCcRw
233780,2014-12-26,0,yVmJdzstj6fQf7DyObvB7A,"I've ordered $60 worth of meal to my hotel room after a long tiring day, waited 60 minutes (no problem with waiting time, we've been warned about it) finally got my pasta. I was super hungry, but there was no plastic fork (or anything) to eat the pasta. I called the place they offered to bring one but not with an apologetic tone!",1DyUf09vmcRHoJwtPQJG8A,0,0,1,B5JPv6qPxYuSbC4ZIhst3A
478117,2012-09-17,0,yVmJdzstj6fQf7DyObvB7A,"Luckily I like cold pizza, bc thats how it was delivered after 1 hr and 45 mins. Pick the pizza up if you want a hot one.

Pizza: 4/5  All the toppings were delicious but it was cold and not fresh tasting. Tasted like it sat for an hour in the guys car.

Delivery: 1/5  I dont care if its free, it still takes 1 hr 45 mins to the strip. 

Price: 5/5  Unbeatable Under $15 a pizza with delivery tip.",a1FfAHrb7k0wmLYM2lkB3A,0,0,3,dYZp5KgfJfYu7RvHmy1A2g
752601,2014-07-26,1,yVmJdzstj6fQf7DyObvB7A,"omg so far my fav. place to get a white pizza from !! and the wings we so plump and tender !! 

it was a amazing experience hot fresh LOTS of cheese great specials and the driver was SO nice !!",gugUpNPEyl54jCNc3kBlWQ,2,1,4,LHMbVzS0Kc_GBRmAj08Feg
761283,2015-05-24,0,yVmJdzstj6fQf7DyObvB7A,I had to give one star because you have to.. I ordered the gyro with fries my wife ordered mozzarella sticks and a side salad ... Service was horrible we ordered water they didn't ask if we wanted bottle water charged us for the water ... My wife received two different types of ranch dressings and the mozzarella sticks sucked ... We will never go back here again,k_jI8TeypNwvXQDHM7Z8eA,2,0,1,Jr2Zn61NrtY2Q7nsyqwmHg
916030,2014-11-09,0,yVmJdzstj6fQf7DyObvB7A,"the worse place ever to order food!!!!  i ordered a salad and they messed up really bad on it.  i paid $16 for it, when i called back to complain they told me that all they could do was to give me $5 credit for the next day.  i have called my credit card and cancelled the transaction.  very rude people, they shouldn't be in business at all.",8JBILCNxcZdCRvANcqmOWA,1,0,1,KBfAzWf4L4_CCznp6yGxsg
1267298,2016-04-25,0,yVmJdzstj6fQf7DyObvB7A,"We live across the street so we ordered to pickup a cold Italian sub and a spinach and pepperoni calzone and I asked for two extra sides of ranch (this was all off of the Eat24 app) when I got here they said ranch was extra and that the amount I paid on the app didn't cover it. I'd didn't mind so I pains anyways. 

When we got home the fries where a little stale and corner of the sub was a little soggy but over all it was alright. Not worth $9. The subs from subway taste better then this and they're only $5. 

The calzone was the greasiest thing ever. It tasted alright but it was also kind of stale. It was pretty large. Maybe if it had been fresh made...

Oh and the ""ranch"" was SOOOOO WATERED DOWN LIKE MY GOODNESS. We opened it to pour some on the fries and it turned clear when it touched surface because it was so watered down.  

We only spent about 24$ and it was a lot of food so I guess not too expensive but not worth it tbh",jEWNvHUoeJACjv_eJ2Xu2A,1,0,1,xTjExWFGOeGsA9xWMlM2Rw
1318407,2014-08-16,0,yVmJdzstj6fQf7DyObvB7A,"Sooooooooo. We came tonight from Money Play.  It was crazy there and we couldn't get service.  The bar here wasn't as swamped and the drinks were the right price!  3.75 for a Cuervo silver and oj!  

But the food.  We got 40 wings and a side of fries.  It came to 31.00.  Everything was so yummy!  Diana the server was really great.  She helped us a lot!.",buCuVZ0dywS3mVyPHnz6Gw,1,0,5,hBp4yYPicppcHTu8djA5nQ
1391735,2014-01-31,1,yVmJdzstj6fQf7DyObvB7A,"Review based upon late night delivery...

Delivery took a bit longer than anticipated, although I'm not sure if I should attribute that to the EAT24 services or to the kitchen at Johnny's.

Just to be clear, the caprese salad is not what you're picturing in you're head.  Its a bed of greens, with some tomatoes and shredded mozzarella dribbled on top.  It wasn't necessarily bad, just untraditional and slightly misleading?  The pizza was cold and salty, but I agree with one of the previous reviewers that the toppings were tasty.  I guess you get what you pay for.

Carrot cake totally passable on as well.  Would not bother to order at this restaurant again, despite the free delivery fee and the late hours.",4NfIpag40h-YuBz461eGFg,2,0,1,nuIK5wvxvHfVNT8IIupj2g
1497086,2016-03-10,0,yVmJdzstj6fQf7DyObvB7A,"First of all- Did this establishment change names? I received a brochure in my apartment door about 2 weeks ago so today I decided to try it out. The Menu says 'All City Pizzeria' but has the same exact address as Johnny's pizza...so that alone is confusing as is. If I could give this establishment 0 stars I would have. I ordered my cheese steak sub and mozzarella sticks at 1:08 pm and was told it would be delivered in 40-45 minutes by the lady on the phone. I called at 2:30 PM because I still had not received my food and was told ""ummmmm, hang on.......... It left 10 minutes ago so it should be there in 5 - 10 minutes (click). Needless to say my food did not arrive at my door until 3:00. TWO HOURS AFTER ORDERING. The delivery boy didn't even have a pen on him so I had to search for one in my apartment to sign my receipt since I paid with a CC over the phone.  And of course, as expected, when I opened the bag of food, it was all cold and soggy and gross. I microwaved it to heat it up and try to salvage it. Took one bite of my mozz sticks- cheese was hard as a rock. I gave up on that and moved on to my cheese steak sub and I wouldn't say it was HORRIBLE but it certainly wasn't good by any means and the whole entire sub was just peppers, onions, and what tasted like fake cheese with a few scattered pieces of meat...... If i wanted a pepper and onion sub then I would have ordered a pepper and onion sub.. not a cheese steak! Anyway- I will never be ordering from this place again. Lesson learned!",pw71ZobIKVAgdAzHG4kyiA,1,0,1,JshV7aJpHbbxD3hC0OmE8w
1722536,2014-09-13,0,yVmJdzstj6fQf7DyObvB7A,"Ordered delivery. Food was not good. The chef needs to chill out with the garlic! I ordered the Alfredo pesto pasta with shrimp. It was so disgusting. Tiny mini shrimp and the Alfredo had raw garlic throughout. I couldn't eat it. It came with over buttered raw garlic bread, couldn't eat that either. Than the side salad with ranch dressing. The ranch was a paste and it tasted like raw garlic again. My husband ended up having delicious ribs and wings. They sent him the incorrect wing flavor. Recipes need to be fine tuned, add roasted garlic or be lighter on the garlic, add milk to dressing to thin it out, get rid of the small insect looking shrimp it's nauseating.",s5tu89p6tsTcjNP4HVbN7w,1,0,1,DNSTQLu3L1vB9o7Wsi2NCA
