,date,funny,business_id,text,user_id,useful,cool,stars,review_id
632147,2016-12-07,0,yZsrD8DK3Cl03nachAOr3g,Place is fuckin awesome. Hookah is very good and cheap! Very nice people and modern music. Good vibes and nice ambiance.,sJSeFwx68D_w0W8BAaUcIw,0,0,5,DD0euK89H6IXw-v3PzNOYA
647077,2016-11-11,0,yZsrD8DK3Cl03nachAOr3g,"Absolutely nothing compared to other hookah lounges, go for your own personal experience and opinion - mine wasn't great but the company with me made the experience much better or at least allowed myself to enjoy my night.",pmaP5tAeBU6reRTZkyAgmg,0,0,1,BM2QuvElWYMrw0Vszuxngw
654484,2012-12-04,1,yZsrD8DK3Cl03nachAOr3g,"Best hookah I've ever had. The staff may not speak great english, but they are friendly and know what they are doing. The hookah tasted phenomenal and i am sure they make great sandwiches (I didn't order it as I had already ate). The atmosphere seems dark and intimidating at first but when you sit for a while, it becomes much friendlier. They play music from Ethiopia which has a nice steady rhythm that isn't overwhelming like some hookah lounges I have been to. Overall great experience and the next time I am in Vegas, I will be sure to drop in again.",CbhaMkZ04h0Mh3gGlYXlzg,1,0,5,UqRXw34jT6OUHbdxIdCrwQ
953393,2016-09-22,0,yZsrD8DK3Cl03nachAOr3g,Love this place great service fantastic coffee staff is kind and welcoming. I will definitely be back! Wonderful smooth hookah and I really enjoyed the mix of watermelon strawberry and a hint of lemon recommend by our server. It was truly a pleasure.,_8QOBHrVgILhU9ovxbKB5A,1,0,5,6r5F8JHAE6bHFCQnFFAreA
1195529,2017-02-17,0,yZsrD8DK3Cl03nachAOr3g,Heron is the best hookah bar tender she is xute nice polite and hookah is strong and good best ever in las vegas must come,K3C6hILyPXZcqMU_Yd5BqA,0,0,5,WZ25tKWF_Hh69HggIC0iqw
1836681,2015-06-10,3,yZsrD8DK3Cl03nachAOr3g,They are really rude here if you are not of their ethnicity. They do not sell food anymore due to god knows what. Will never go there again,sWsgT6dOcNK2lMJr9OU4tg,3,1,1,nrQHoNAbzB1b9NWJFhkNdw
1893036,2016-05-13,16,yZsrD8DK3Cl03nachAOr3g,"I've driven past this place forever but finally stopped in one day when the Illy Coffee sign caught my eye. Exterior windows have food and hookah photos, and I hoped I'd found a great new coffee and Mediterranean spot.

Approached the door, which was propped open, around 9AM. Inside was dark like a dive bar, and a woman was mopping. Not seeing an open sign or posted hours, I asked if they were open. ""Yeah, but I want to clean right now."" She turned around and kept mopping, totally ignoring me. 

I peered inside wondering if I was supposed to come in and wait for her to help me, but there weren't any lights on or any menus posted or located near the door, or any response from her, verbal or otherwise, about ordering... so I left, confused.

I wrote that visit  off as a bad day but popped in another time and my business was again turned away by staff who had no interest whatsoever in helping me. I have yet to see a menu or any indication that they have food/coffee at all... or any customers, for that matter.",bLbSNkLggFnqwNNzzq-Ijw,21,10,1,3eWn03gCv86--jWWVO62PA
2311707,2017-07-27,0,yZsrD8DK3Cl03nachAOr3g,"Fabulous hookah taste! Affordable! 15 dollars got me and the wife 90 minutes of consistent fresh smoke! 10 dollar refills! Good space. Sketchy neighborhood but great vibe. Tv! Plays music or sports! 

Waitress is very attentive and friendly! Met the owner! Good work! 

Not pretty! But it's all about the smoke!",Yof7XS3NFEmlenTGxpEZMw,0,0,5,yvYyTq2WOsixesgrnix73g
2490877,2014-04-29,0,yZsrD8DK3Cl03nachAOr3g,"Service is awesome! You can order hookah and go next door to the bar and they bring it to you. There are awesome flavors and it's super authentic. If you want good hookah it's the place. Order, go to the bar next door and drink and gamble.",4Zy8nliOX_6Sm-wIiZ5Ysw,0,1,5,s4pBr0jUDeMFH4qEPg3R8Q
2884681,2013-07-28,0,yZsrD8DK3Cl03nachAOr3g,"First off let me just say that I am a hookah fanatic, and long have i searched for the perfect hookah lounge.

Well, I found it.

Everytime i went to any hookah lounge the music would be too loud, my hookah would taste burnt after a while, prices were waaay too high, and the service wasn't all that great.

Dream Cafe was the ultimate exception.

I found it by accident when me and my wife were looking for something to do, so we went in and asked how much it was for a hookah session. My mind was blown when they said 10 Dollars!! So we stayed an hour and for that whole hour their tobacco did not burn or get rough, and the coals were bright red all throughout. Just an awesome smoking experience.

Their coffee is amazing as well. They have a brand name proffessional coffee maker. The coffee is bold but not too bitter, and just overall pleasant.

I've also never had any Ethiopian food before, EVER.
I talked to the staff about what i should order since i am in no way familiar with Ethiopian food. The staff kindly suggested their most popular dish and i went with it, and never regretted it. It was BIG, and enough for 2 people.

Very good service, very good hookah, very good food.

I went there twice in one day!!
And will keep on going!",HJHTuWqLLpjsPcgJhtGInA,0,2,5,2kbonUUo8DQahEep9HRfAQ
