,date,funny,business_id,text,user_id,useful,cool,stars,review_id
29789,2017-02-11,0,ypfFfR3-PbtoslIhohNstw,"We went here on a Saturday night since it was the only Korean BBQ place within 5 miles that had less than an hour wait. The menu is large, with three pricing tiers depending on what kind of meats you would like. They also have a wide variety of items not included with the all-you-can-eat, but we were there for meat. 

The food's good. Our meat was fresh and flavorful (with the exception of the pork belly being a little bland), and the sides were traditional, so no complaints there. Lee's Korean BBQ only gets three stars for me because of the service. I went there on a date and was surprised to see that the server wouldn't let us cook our own meat. Instead of taking our time, talking and cooking, we had a woman leaning over us for most of the meal. Our server barely spoke to us, and didn't even give us the option of what we'd like to eat first. 

They don't switch out the grills here, but they do clean them. Everything seemed clean, but there was a cockroach on the bathroom sink, which always concerns me.",wkKnzTG93gutdDWJpjwDQQ,3,0,3,MqZXD-yL2wcG6J2ph2zBbQ
41964,2012-06-19,0,ypfFfR3-PbtoslIhohNstw,"Horrible customer service

If you are not Korean good luck communicating with them

The all you can eat menu is a LIE.  The waiter told me the bean soup and steam egg is ONE per table only EVEN THOUGH it says in the menu unlimited means unlimited.  They lie!

Nobody speaks English.  They cater to Korean only speaking customers. 

Never again

Unless you speak Korean, you will have a hard time twisting your tongue to primitive English in the hopes they can understand it.",GF2v9WIiP31gEBfGpVd0xw,1,0,1,NHrG9-O4mAVrRgZ3uDploA
45507,2013-03-23,2,ypfFfR3-PbtoslIhohNstw,"Who gets cut off from eating all you can eat? I did! My friends and I decided to give this place a shot since my fiance and I liked it the first time we came here and all my Korean co-workers recommended the place.

We came on a Friday night around 7:30ish, seating for 6 people. No problem because we called ahead so we wouldn't have to wait. The place was pretty busy! My co-workers were excited to try this place out since they fell in love with tofu hut but Woonam Jung has way better meat quality. It took about 20 minutes before someone finally came to our table. I ordered a bunch of meat but the lady said I ordered way too much and had to wait for the next round. Round one done! Round two...I ordered about 4 different meats which finished within minutes. (Yes I was eating with a bunch of scavengers) When it came to ordering more it took them 30 more minutes to get to us. After they gave us our order they said no more. WHAT!?! Did we just really get cut off from ordering...YES! I was shocked, but it's okay because we were all full, but still. 

The food is good here don't get me wrong but the service was slow, we got cut off from ordering, and the grill is too small! They should add at least 2 grills for a seating of 6 or more.",jEBySjq6tgL-_R3P7LHq0w,7,3,3,eLsDpEBC67iDmtKF0pLS8g
53561,2017-04-12,0,ypfFfR3-PbtoslIhohNstw,The Galbitang was tasty. Don't expect good service here. I don't know if it's the Korean culture or just the server (or lack of English speaking skills) but they seem kind of rude.  Also they seem understaffed so they seem to be rushing you to make an order. Authentic Korean food! I loved the broth of the Galbitang. Kim Chee was fresh and good also part of Banchan which is the Korean word for mini-side dishes.,F3YJ1jbv2_xT4CyzU16p9Q,0,0,3,qy5rAPHSSY7clQISY8iLHg
57293,2016-04-08,3,ypfFfR3-PbtoslIhohNstw,"Food is great. Meat is a good quality. And the side dishes varied. And the grill that you cook the food on is really good and nonstick. Overall I really like what they serve...

... That's if they serve you.

The ladies that work here, while there are some that are great, they're always not present. 

The food is great, the restaurant atmosphere is your standard fare for Korean BBQ. 
Service is something to be desired.",pW2afavEjw9FE3wF9kzsmw,3,3,2,TcIuj-r_Nu4fjx93VL8nVQ
91343,2016-09-20,0,ypfFfR3-PbtoslIhohNstw,Best Korean BBQ place in town. Thier service is unrelenting even if some of them look tired or anxious because of too so much customers they still serve you in timely manner. Food is great you get to have a choice. People that rate this 1 * don't know how to read a simple menu.,YIe8MQL0ULO7CpPV2Q5Nbw,0,0,5,xe4fF0pqB71gCmPdD2sgVQ
123449,2014-09-29,0,ypfFfR3-PbtoslIhohNstw,I get a food poisoning in this restaurant looks like clean nice but the food make you sick it's horrible feeling,scp4dwqCpuLXJOE6YW8TRQ,1,0,1,z9OpNeURp4oD67CCFn20HA
141634,2013-02-04,1,ypfFfR3-PbtoslIhohNstw,"Seriously the best ayce spot for Korean BBQ.  Not only is the food really good, but the service was outstanding.  A rare experience for me in a korean restaurant.  Good selection meats.  side dishes are very good and have a good selection.  Must go for anyone that likes korean bbq.",_O34OQgnyeJ-9w3VnjDR1Q,3,3,5,KBc9vIwHo0uXQLNou-CROA
152163,2015-02-05,0,ypfFfR3-PbtoslIhohNstw,"Some of best KBBQ all you can eat I've had. Great meats, very clean, nice looking spot. Open late as well.",eVXTZx6bTHvPWWWNdrAj5g,0,0,4,g8ZXPtoHC-0NWfv5otWjcQ
158422,2015-12-30,0,ypfFfR3-PbtoslIhohNstw,"Should've read the previous reviews before eating here tonight as it was an awful experience. As another reviewer mentioned, the $20 dinner was not available so we had to pay for the $26 meal. Several of the appetizer items and a few of the meats that were supposed to be included in the meal were not available, yet there was no concession on the price. And on top of that the service was horrible. The waitress was downright rude, hardly came by to refill our drinks or allow us to order more food, and seemed annoyed when we actually were able to flag her down and request something. Both of the tables to the right and left of us said they couldn't get the waitress' attention. Customers were getting their own water, napkins, etc from other tables because no one was helping them. Save your money - the food and service were not worth the price. We felt ripped off.",2k_KijNJh99uo38DyXmJlg,0,0,1,eO3ahFBxVRiEUbz7OhNgCA
161110,2016-09-11,0,ypfFfR3-PbtoslIhohNstw,"This place has good food, amazing actually. Greeted very nicely, but got seating wrong and forgot to bring rice more than once.",DnADEdq_OLAem3n2r7pwPA,0,0,4,iQH0gd3YmQMizIEx5CidPA
171490,2015-01-17,0,ypfFfR3-PbtoslIhohNstw,"Sitting here now. Waiting 20 min to put an order in. Was good at first then the waitress just disappeared. Signed up on Yelp just to warn everyone not to come here unless you like waiting... Not like they have to cook the food!

There are better K-bbq places in town; go elsewhere.",wvbPANUqO0ggvvhjoiieKg,3,0,1,poRfxQMpiUA75OwE542bog
182124,2017-06-07,0,ypfFfR3-PbtoslIhohNstw,The food was very delicious. Took my parents here and my family for a birthday lunch and food is veryyy good. Service is great too.,gEiqWEl9tAPcVF6LNdXusA,0,0,5,Ke1Dgi7JAmHfDhTSWfdgDQ
203320,2016-08-01,1,ypfFfR3-PbtoslIhohNstw,"The best Korean restaurant in Las Vegas! HANDS DOWN! AMAZING MEAT QUALITY! And the service is great! Love it here! Always coming back whenever I'm in Vegas! Everything on the menu tastes amazing! If I could give this place a sixth star, I would!",ohKgn0KX0GqZg50_mzpfaQ,1,1,5,9jC8rbWy-LqR5JWVIjWIqg
207601,2014-10-31,0,ypfFfR3-PbtoslIhohNstw,"Good food bad service - never been to a Korean restaurant that didn't have gatogi, I was ignored, and got no refills on anything. Not sure why I'd come back. Tofu hut has never treated me this way... doubtful I'd go out of my way to come back... & this was my second trip here... I will stick to other places for my cravings of good Korean food...",qaWAuffiPkwfH3-h5O8QQg,1,0,3,5gYy5HCXMAztaWZcgqhHBA
209722,2017-04-27,0,ypfFfR3-PbtoslIhohNstw,Service was bad. We had the all you can eat and some of it was good some of it was just ok. Their pricing for makgeoli was ridiculous. It was just as expensive as the raspberry wine which is expensive to begin with. Also gratuity is added to the bill so you can't control how much you tip based on service which was awful btw. Also the workers like to talk sh*t about you in korean among themselves.  The side dishes were pretty good though. They are overpriced in my opinion for some of the stuff. Also since gratuity is included I suggest you make the workers work for it since they didn't for us. Also sometimes they cook for you and sometimes they don't.,wvqaLdbaK8h-lutRpXm2mQ,0,0,2,r57SDrJRN1R_36L-xBOt4w
221694,2016-09-18,0,ypfFfR3-PbtoslIhohNstw,Awesome customer service with awesome company! Always a great place to hungry friends from Hawaii.,DGqVhOn30Ly6fu1F3kKckQ,0,0,5,2bL_ZdnDbDxX9p4d4Nq1Qg
283016,2017-09-12,0,ypfFfR3-PbtoslIhohNstw,"food is ok, but the service is suck, I have to cook the food myself, and waitress ask for more tips in a serious way,  though I gave tips about 10% of the bill. cashier said ""10%? OMG, uselly is 15% to 25%.""
I love Korea BBQ food, but this place, I probably wouldn't go back again.",ZG4EHG7ry4xXN0Z7L7tg-g,2,0,1,y_vEm28Usi8gJArBg3PWRQ
308015,2015-11-30,0,ypfFfR3-PbtoslIhohNstw,"If you want AYCE Korean Bbq, do yourself a favor and go somewhere else!  The quality of the meat is below average.  The service is TERRIBLE!  The waitress did not check if we need anything.  We had to wait 20 minutes before she showed up (to seat new customers) and then we had to call her attention since she did not ask us if we need additional meat.  For the price we paid, the food and the service was way below our expectation.  Maybe the trick is to make you wait for a long time so you are not able to order all you can really eat - frustrating.  WILL NOT COME BACK!!!",ZDDp1IIHhK9vFqfEHfj2lQ,1,0,1,COvdv6nx35HJRTI1DbMYzA
322429,2017-07-30,0,ypfFfR3-PbtoslIhohNstw,"I suggest nobody eat here , there was a roach crawling near our table when we tell the waitress and she just stomped on it and said sorry. They accused us of trying to get a free meal and was being loud and hostile, keep in mind we quietly told her and didn't draw attention to the matter to cause a scene. She then threatened to call the police on us. So yeah negative review from me.",GOsZ8qQccRd7m9z22c0QuA,2,0,1,IuDow4EEZNHeVkiT4jX2ZA
347225,2015-08-30,0,ypfFfR3-PbtoslIhohNstw,Even if the food was the best I ever tasted the wait staff was the rudest I have ever had. I'll never never did I mention never eat there again or recommend it to my worst enemy.,UANbY1hb5noZYy68WNv-gA,0,0,1,JuYAL7T3-hGssy2I8EXMHw
395914,2017-07-06,0,ypfFfR3-PbtoslIhohNstw,"I come here often with my mom and friends. Every time I come here, the staff is very welcoming, they are also very helpful. The restaurant is clean, cozy, and very efficient. The price is a little pricey, however the food is great. I plan to keep coming back here often.",eU96fEntK_2lmr9eRm_I9Q,0,0,5,K-o00RQQ3XLYbrDG5677mw
401264,2017-08-06,0,ypfFfR3-PbtoslIhohNstw,A total rip off! I ordered lunch special Bbq short ribs for $12.99 --- all I got was 2 pcs of short ribs! The picture on the menu was deceiving.  Bad service too; will take forever when you call a server to come to your table. I will definitely not come back here!!!,vQPqY4NXTy_cY0l6g3o-5A,1,0,2,xk8y617WHiTss9vHx_kPFw
404716,2015-07-03,0,ypfFfR3-PbtoslIhohNstw,Came here to celebrate a friend's bday and we had about 15 people in our party. It wasn't that busy in the restaurant but the took forever. Waitress was trying hard to manage but it looked like she only had our party to attend to. The food was ok. My favorite was the little dish with mayo and pickled something. The hot plates were too small for the table. All you can it price was higher than most Korean BBQ places.,XYp5bVmz-bmW9Yuerc8DUg,0,0,2,z3u4AeojOKo-52P9EphYFg
