,date,funny,business_id,text,user_id,useful,cool,stars,review_id
80695,2016-12-09,0,zK7sltLeRRioqYwgLiWUIA,"Awesome place!!! Great customer service,food is great. If you like eggs and bacon the farm burger, You feel like eating your veggies the portobello philly, and you want something light the grilled cheese. For the sides the chilly cheese fries, or onion rings.",MhjSxYU2tjB9OS8GBbneGg,0,0,5,-2bIioDar0lv16TwnzTyBg
102225,2015-12-14,0,zK7sltLeRRioqYwgLiWUIA,"Best burgers and fries nearly without salt, what is great!",jrwjOF0bZdaFpSitpD1l5g,0,0,5,Q1gxN-mqNMxO_qaMZd693Q
125949,2017-02-20,0,zK7sltLeRRioqYwgLiWUIA,"We came here for dessert. Nice inside, easy to sit down with the family. We had pretty much the range from the shake and custard menu. Everything was great",HAS4ejTeyX04P6TPp1hp7g,0,0,5,6TtO2kldk9SEDKkE4_Zdrg
165424,2015-12-27,0,zK7sltLeRRioqYwgLiWUIA,"If you're in search for a burger spot, but don't want to settle with in-N-out this is the place to go. It has such a wide variety yet a simple menu (includes vegetarian options too!) the service is usually never bad, I've been here a handful of times and haven't gotten rude workers approach me. It's a very modern and up-beat scenery, which is perfect for the area of downtown-near all the bars and such. My recommendation would be the old fashioned burger to test the waters a bit, and to recognize the quality compared to most burger spots. The malt shakes are irresistible when in search for the sweet taste after a burger, and to mention the fries (which also have a wide variety). Honestly, a burger joint I'll always recommend to anyone who wants to try something different, that still won't hurt their pocket either.",T7ot0AtUj1uwQtlnzqqOxA,1,0,4,a_ZXWEvWgIVZKu-CUp2tIg
218951,2017-11-11,0,zK7sltLeRRioqYwgLiWUIA,The Farm Burger was good. The service was awesome very prompt and attentive. Flavor was good very tasty,69RG9WzYlhrOm-WJqyJwIw,0,0,4,4uFQtiW4w2C-Masc-syjyw
300920,2016-06-26,0,zK7sltLeRRioqYwgLiWUIA,"Pretty good burger.  The flippin' sauce is good.
The flippin' fries are just like In & Out animal style but way better.  The flippin' sauce they put on them is much better than 1,000 Island!!!",TVK53A5KQTKH9WZzmfXsBw,0,0,4,YNudX7X3frUji60wUw_Ceg
342498,2016-05-18,0,zK7sltLeRRioqYwgLiWUIA,"Best meal and price we've had since getting to Vegas... Great burgers, great staff, and clean!",PnMXaB5jFidDIvcjbbOttg,0,0,5,qKbCCPkt2LwOoCJAhcTURg
360574,2015-09-21,1,zK7sltLeRRioqYwgLiWUIA,Regret... Might as well be a McDonalds. Not up to downtown standards. This building could be put to better use.,iZsBRlNUtNoyf0vwU7LW4Q,1,1,1,6utEd9neHrowYA0q30T8uw
385847,2016-03-01,0,zK7sltLeRRioqYwgLiWUIA,Compare to the price everything was good and delicious. I ordered a classic cheeseburger with fries and liked them both.,lCf6DOuytgt8nxvKNuHMbA,0,0,5,p61MlWC5bb96hDVDdIK6lA
394624,2015-08-30,0,zK7sltLeRRioqYwgLiWUIA,"Checked this out last night around 2 am. The food was amazingly fresh. I got these spicy sliders that were great. Even the jalapeño on the burger was lightly cooked to perfection to give it an exploding tastes.

I also ordered cheese fries, pretty solid also. My buddy got onion rings which were fantastic and super fresh, some of the best!

They offer turkey burgers, but no veggie burgers. My friend was kind of upset about that, doesn't effect my review but I do think it would be a smart addition to the menu. I'm sure they could make a veggie burger Flippin good!

I'm basically trying to go again today, I NEED to.",9zBMYPTnsc5_Qa78as1QPw,2,0,5,WCf-UmN61d93yKFjGOnnwA
443703,2016-07-05,0,zK7sltLeRRioqYwgLiWUIA,Place is nice and clean but burgers looked nothing like the pictures.  They were flat and fries were stale.,bT5WlVQCPrkKF1vARJ-LEQ,0,0,2,JWe5BXVJyPllPjutM1MXOg
496848,2016-12-07,0,zK7sltLeRRioqYwgLiWUIA,Best burgers with EXCEPTIONAL service. Love coming here on my visits. Highly recommend!!!,9IJtfx1_1LMSg1mOi07BEw,0,0,5,Gka9zmcbmHkvSGsx9jT_FQ
