,date,funny,business_id,text,user_id,useful,cool,stars,review_id
31199,2016-03-11,0,zYDih_sBtW5ujL-zmUjIqA,"Magura's pizza is so flippin delicious! Oh em gee! I live in mountains edge and have driven here just to pick up a pizza from here. It is that good! I came across after some coworkers ordered in for us at Nevada Pure and we love the pizza, wings and fries. The ranch is the business too! They are so kind and helpful as well. Love this place.",5_SsPRKbjJgQm_bhG6bYVQ,1,1,5,GB1DMEmF4MEKOl2m6UiMRw
182017,2015-11-22,0,zYDih_sBtW5ujL-zmUjIqA,"One of the best hidden gems and my go-to ever since I moved to Vegas. I use to work at a wing shop so my standards are high and this place has the best wings I could find, Me and my roomate are obsessed with their garlic parm! Every other menu item has never been a disappointment either, these guys do not skip on quality. I get delivery or carry out and has never had an order wrong or missing something, which happens a lot with other places. Everyone is always welcoming and friendly and that kind of attention to detail is why I'm addicted.
My only complaint is that they aren't open 24hrs but that's probably best otherwise I'd never eat anything else.",1Gd_CYEA5JjcS56WeewK5Q,2,1,5,84FVf7bcuYvVjhLa6p5rAw
415134,2016-11-22,2,zYDih_sBtW5ujL-zmUjIqA,"This review is based my latest experience. I have always ordered from Magura, mostly satisfied with my orders. I ordered Hawaiian pizza with bell peppers and fingers. Now Magura is a little over 5 minutes away.  I used the Eat24 app to place order at 1624 and was supposed to arrive at 1708. The food arrived 15 minutes later.  So it took 10 minutes to cook the food. Doesn't pizza take longer to cook? The bell peppers were missing from the pizza. It must  have been pre-made. The fingers were greasy and tasted weird. I should have taken a picture. The fries were good. Had to throw the fingers out. Won't be ordering from there for a while.",1JNqxJr8cDb689up53NGig,4,0,2,kQqj96X0mDlxaQ5HKTwfTQ
494454,2016-04-15,0,zYDih_sBtW5ujL-zmUjIqA,First time ordering from here. So happy we tried Magura! It hit the spot. Will order again. Thank you :),bLWejRK1CKEslpUghMKmSg,0,1,5,039UlFu7Y7TNcKVBGfbc1g
538648,2016-04-25,0,zYDih_sBtW5ujL-zmUjIqA,I was looking for a new pizza place and found this place on Yelp.  It's a small quiet joint and the guy behind the counter was polite and nice .  The pics on Yelp made me think it was going to be not so good pizza. I ordered a Hawaiian i must say the pizza is really good. The pics don't do the pizza justice. I'll definitely go back. Thumbs up,f5L7eC_epbX9P34klniyLQ,2,2,4,cgkBeQ9Q2ndRT15PG-peZw
687149,2017-06-10,1,zYDih_sBtW5ujL-zmUjIqA,"Calzone was good, but I'm super unsatisfied borderline grossed out.. I asked for paper plates and forks and knives for 2.. Got one fork and some napkins.  The fork was dirty.. Like are you serious? Never ordering here again... Someone had obviously used this fork... And it's like plastic, so u could have thrown it away and given us a fresh one.  Chocolate cake was frozen stiff with ice on the outside... Awesome... I literally ate 4 bites and got depressed about my meal..",k_zkNAROoHkPA23VNhQk-g,1,0,2,QR3SUpUoUn1HBe5JQanOmg
721808,2015-10-14,0,zYDih_sBtW5ujL-zmUjIqA,What a welcomed business in our area ! Nice to have a family owned pizza shop in the area. The pizza has been consistently tasty and we have ordered pizza many times already and will continue to do so . Our normal order is always the large pepperoni with meatballs always good and the crust is always cooked well too ..... give them a try.,i_f3IVSHv7yP2HsvR-mwHw,3,1,5,c32QIc4VVrGM_A4u1tNcvg
816954,2016-03-18,0,zYDih_sBtW5ujL-zmUjIqA,"Ordered a pick up special, great pizza was  cooked just right, good customer service, I'll definitely be coming back.",BnXlkRpfvN9Qj_Vbd6AXUQ,2,0,4,CIeYlNlbROmkOVnH7xM0Dg
909438,2017-08-24,0,zYDih_sBtW5ujL-zmUjIqA,"Best sandwiches, wings, and pizza that I've had in Las Vegas. Try the chicken parm! It's like being in NY! Fast delivery and the drivers are always really nice.",NG0o-GOTykgsCSrhOhAszA,0,0,5,_EGMJpRXgxTslZcOuZAzag
1023996,2017-05-29,0,zYDih_sBtW5ujL-zmUjIqA,Best food I've had since I've moved here almost a year ago everything was delicious and the delivery was fast and will continue to order from here and everyone was very nice and friendly,BVCJWp_YbYumJzAeHhC90w,1,1,5,9JfQYF6-bLL2_XoMIwGSxw
1028359,2018-04-06,0,zYDih_sBtW5ujL-zmUjIqA,"Have ordered from here quite often. Magura pizza is our favorite as well as the tuna melt. My kids always ask for the melts!  Also really love the fried mushrooms and zucchini. If not sure, suggest getting the appetizers with all the items to try out.  Highly recommend you giving this place a try.",nwRxBHBs6XD7Whyx9xBAMg,0,0,5,YtxVYOzeLsbn0n3t5JLwuQ
1040261,2016-05-19,1,zYDih_sBtW5ujL-zmUjIqA,"Ordered simple pizza and wings with fries. Food was pretty good but they did not bring complete order. When I called and explained the situation the employee couldn't comprehend what happened, after several more attempts to explain she finally caught on, but wouldn't send out the food I paid for. Be careful, you may get ripped off especially if you order from Yelp as prices are different/cheaper than their menu and food combinations differ also. Won't buy from again. To be fair their delivery driver was fast and friendly.

UPDATE....After posting the above review, Hannah, from the restaurant, called and offered to send out the correct order without charge. I modified the rating from 2 to 3 stars, but not anymore because they still wouldn't take responsibility for the error. They blame the website for posting the wrong prices, but if they see an order come in from that website why not make a little effort and call the customer to notify him/her of the difference(s)....laziness or greed?

The only reason I've gone in-depth with this review is because I am absolutely fed up with getting ripped off so frequently by businesses, even if it's only for a few bucks.",ioUWdz-ptBRnG3jMhC7KaA,6,1,3,88l66AVFqxf66NhSU5I8jg
1074962,2015-10-09,8,zYDih_sBtW5ujL-zmUjIqA,"I ordered online for a delivery order, I'm very disappointed actually. It took over half an hour just for the food to cook. I called the business to check on my order and as soon as I called he told me the delivery guy had just left. I waited 40-45 minutes for a takeout order!!! How freaking ridiculous. And the food wasn't very good either. I got the broccoli cheddar soup, it has absolutely no taste at all. I also ordered chicken wings, medium spice. I was very excited to eat these until I opened the box. There was literally no sauce on it. I also wanted blue cheese but they gave me ranch instead. The fries were soggy and cold, too. Definitely will be my first and last time eating this place.",4gNgQvvBKKfOzF7z9szuew,3,1,1,DmlAYDa3DQeQon2Ikh9oBQ
