,date,funny,business_id,text,user_id,useful,cool,stars,review_id
13065,2014-03-16,1,zpoZ6WyQUYff18-z4ZU1mA,The Span ish was one of the most amazing things I have ever tasted. The patty add egg was also next level deliciousness. This place is a pure gem!,5WuLl5U8q0cqlMbchdc9Pg,0,0,5,FRwnNgvSi-BqgUr0h5kW1Q
43255,2015-08-01,2,zpoZ6WyQUYff18-z4ZU1mA,The sandwiches here are amazing!!! They use amazing and unusual ingredients.  The vegetarian sandwiches are great!!! I'm definitely coming back!,2TrsvCoNDYSIcf0SW3OsoA,2,0,5,JZjtTKVMgL2viLoCHlRMHg
49275,2014-10-14,0,zpoZ6WyQUYff18-z4ZU1mA,"Chicken skin on a sandwich is a beautiful thing.  Their chicken sandwich is the best sandwich I have eaten in Las Vegas.

The location is great- right downtown and super convenient.  Stop by and drink at Dino's while you wait for your grub.  No where to site at the Goodwhich so Dino's is the ace to sit.

The hipster owners are pretty cool too!",PTb8kGHrN3d4YvCNCxEhAQ,0,0,5,q-v0cOlb4mRBN31BbkFTIg
55154,2014-05-31,0,zpoZ6WyQUYff18-z4ZU1mA,I am not even sure this qualifies as a hole in the wall.  With that said their food is the bomb.  Try the confeit or pork belly. One of the best sandwiches I have ever had.,NoocYufn5B2LZBVPUFkX1w,0,1,5,-mfvOD4DKqx0zvpEs3l8Gg
67760,2015-02-08,0,zpoZ6WyQUYff18-z4ZU1mA,"This  is a do not miss place for foodies in Las Vegas. Chef  made food in the parking lot of the Oldest Neighborhood Bar in the city! 
The smart play here is to order at the truck (add the Crispy Skin) and chow down with one of the best bartending staffs in the city. *Guess the right suit and drink PBR for free!",D9-4SsOdFxbxwrFfnFshLQ,0,1,5,XhWCZDEsIkVCWmdwUOac4w
101289,2014-03-08,1,zpoZ6WyQUYff18-z4ZU1mA,"CHECK THIS PLACE OUT!!! Located at the former Viva Las Arepas stand.

These guys really know their stuff. Friendly and knowledgeable who support local businesses/products (bon breads/artisanal foods). Their foie&....omg, definitely a must try. Rich, creamy, and indulgent. Date added extra crispy chicken skin and don't be afraid to try the same. They sometimes run out of it so get it when you can.

The fluff&nutt monte cristo style on white caters to anyone who loves sweets. Definitely another must try especially if you're wanting some dessert. Can't go wrong with the falafel or reuben-ish either. As for the le pig, I can't seem to remember much about it so it doesn't strike me as something memorable. 

Open til 1A Fri/Sat. Stop by if you happen to karaoke at Dino's, decide to check out some people in their birthday suits at OG, or are coming from bars downtown.

Tip: text their number ahead of time with your order to have it ready by the time you arrive.

Definitely a place I recommend.",Ucn8yabLDIiDasbLkNy0Ng,3,1,5,AWwPSjYkG-S69xywItn8nw
102503,2016-11-11,0,zpoZ6WyQUYff18-z4ZU1mA,"GET HERE. NOW. STUFF YOUR FACE WITH A DELICIOUS SANDWICH. 

This place rocks. The party melt, the Reuben, the fried egg sandwich. All top notch. Quick service, friendly and attentive staff. 

A great place for sandwiches!",vE5IR9Egte6tURNQYXaHOg,0,0,5,QZP4H3D53wBlpUoZn026Mw
107238,2015-01-07,0,zpoZ6WyQUYff18-z4ZU1mA,"I love little stands like these that are on the grind. Been wanting to try this spot for a while and finally decided to give it a shot. The menu has had some recent changes bc I wanted to have the foie sandwich which is all over previous yelp reviews. If I were them I would always have a small stock and keep it limited for regulars or people fiending that sandwich. No where I have ever seen has a sandwich with foie gras.

Anyways I had the Cuban esque today and it's exactly what I wanted. I love that they use classic thick slices of square bread. It really gives a true homestyle feel and deli type feeling to it to. If your a fan of Cuban sandwiches then surrender bc this sandwich is the truth. Menu has is priced from 3,5,7,9 Sammies and that doesn't include chips, drinks, or add one. Josh the owner is the man very honest guy and super chill to talk to. If you're a sandwich head like I am then head down here bc Vegas doesn't have many classic delis or sandwich spot staples like other cities do..",0OnJVN7vsR6oNXQ4WtUpKQ,0,2,5,VhAQ7hVTCEWYg8pl5PKqHA
119753,2017-07-06,0,zpoZ6WyQUYff18-z4ZU1mA,"I don't prefer sandwitch usually, but the sandwitch of this place was awesome! And I really liked coffee of this place.",MDknivqj08ZQF47-1PDgQg,0,0,5,6CQZrmpQJK5-SzNKj45v4A
122383,2017-10-20,0,zpoZ6WyQUYff18-z4ZU1mA,"HYPED UP. My family and I were there oct 15th and got a to go order of the egg salad sandwich which i was told is amazzziiing. We also got the Cobb salad and pig of the week (don't remember the exact name). First of all, my egg salad was way too runny! It was literally falling out of my sandwich any time I held it up. I ended up splitting it and eating it like regular toast. It was supposed to have chorizo on top but it was sprinkled ever so lightly that it seemed they completely missed that step. Not only that but the actual amount of food in the sandwich was like they ran out and scraped the bottom of the bowl The Cobb salad had 5 pieces of tofu. FIVE. Otherwise it was okay--for some reason the nuts had actual sugar, it was too much. The POTW was salty but had the best flavor. 

We were also so excited to get the pickles. WHICH WASNT PUT IN MY BAG. Wow, wasted even more money than we had to. And let me say this, it was dead in there. We were the only ones ordering and there was another two people just using the WiFi. To me, it's unacceptable to miss the little stuff! We tried the chocolate cookie as well. It was okay, a little hard--don't recommend. 

Overall, would not recommend. Everything was $34 which felt like a waste of money for what we actually got (and didn't get). However, cashier was super friendly.",FmoVrFg68MeMaCeGUrmEWQ,0,0,2,5jdp61UDjNciW4Oaq2yhgg
