,date,funny,business_id,text,user_id,useful,cool,stars,review_id
682420,2014-05-02,0,zrMpy_uQ5_77YapMkp8lUA,Went to this place late in the day. Not overly busy or hectic enough to justify the attitude and poor service from the girl behind the counter. The food was good and the prices were reasonable when considering the location. Perhaps they're used to dealing with drunk patrons but that was not the case the entire time I was there. The place was clean but the service left a lot to be desired.,2JvNTBn1sJhoapwdZyizTw,1,0,3,b_5l6_fv2G8LgW1EW3kzpw
824166,2014-07-09,0,zrMpy_uQ5_77YapMkp8lUA,"Really bad service food not that great ... Short female darker  lady was rude, rice was dry and beans looked like they have been sitting there for a while .... They charge for every little add to your taco ...: I don't recommend at all",NbDHaxWUfMPGlj_9r9UR0g,3,0,1,4A71MSmSwdidOQj-vFTrZA
1011070,2014-04-21,0,zrMpy_uQ5_77YapMkp8lUA,"Asada's Tacos is a great Mexican place on Fremont Street.  I eat there every time I'm in Las Vegas.  I've actually never had a taco there.  I have had a ton of Burritos at Asada's.  They make them the way you want them.  You will have to pay more, but it's worth it.  I love these burritos!  The place is a classic Mexican food place.  It's small and low key.  Asada's Burritos are a lot like the one's in SF.",Q0Q0pysI7vJaapxGZrWF4A,0,0,5,WkoLDNuAMJFMJbYCNMc3DQ
2221667,2014-01-12,0,zrMpy_uQ5_77YapMkp8lUA,"Oh my gosh I love their steak tacos!!!  The only thing is the size.  They were so small u need about 5 to fill u up.  But they are soo good.  The cilantro, and the salsa yummy!  I will definitely be going back the next time I'm in town.",4A6HoO-L-Z4nc3e-ayJDmg,0,0,4,CPjs0U4M1NpsMzUiAeEWjw
2348827,2013-11-04,3,zrMpy_uQ5_77YapMkp8lUA,We stopped here to soak up some booze. It certainly did the trick. The chicken taco was yummy as well as the black beans. The black beans had onions and some seasonings. Decently priced and quick service. The only down fall is the lack of seating. There could be more along the wall. We awkwardly ate our tacos on the ledge where you order. Lol it did the trick!,EPa3uxyyGfRMpPX47lKwvQ,3,2,4,XE656fX1wxUQrELFzeDInQ
2442820,2014-08-11,0,zrMpy_uQ5_77YapMkp8lUA,"Had the nachos and toquitos. They charge for each additional ingredient; lettuce, sour creme, salsa, and etcetera. The toquitos were a soggy mess. What we did eat left us sick in to the next day.",x6RWnvHoxdAe0i5HSC0kgA,2,0,1,E7hf9f9ciA2PxbYY8i5HVA
2444465,2014-02-25,1,zrMpy_uQ5_77YapMkp8lUA,"Every time I visit Vegas, my first stop after my friend picks me up from the airport is Tacos El Gordo, my gold standard for authentic Mexican excellence. The next day I was still looking for a fix of tongue, and decided to give Asada's a shot. While it wasn't bad, it simply didn't hold a candle to Tacos El Gordo. 

I stopped in mid-afternoon to a mostly empty restaurant. I decided to go for a burrito with lengua. The burrito was a bit sloppy - it was rolled a bit loose and the lengua was on the bland side. The hot sauce on the table was really good and helped add some much needed flavor to the burrito.

The location itself is a classic ""hole in the wall"" joint - but those places usually make the best Mexican food. If I were on Fremont St. and had a huge craving for Mexican, I'd give them another try, but there's MUCH better Mexican food to be had in Las Vegas.",vf4vSva7sCI0K4UAjHrJgw,3,2,3,YuWJ9w4yC_dojy1KjuOsaA
2664221,2013-11-20,3,zrMpy_uQ5_77YapMkp8lUA,"It's pretty ghetto and scary here, but the tacos were good value.  It was about $6.99 for 3 chicken tacos and the table setup is fun.  It's made so you just quickly eat and go.",PYRIiQilTl1rkx83hm8ttA,3,2,3,IT3eEzH6sVsiVZr8DSE5CA
2669685,2014-10-27,2,zrMpy_uQ5_77YapMkp8lUA,"I'm just gonna have to stop and call this place out.

First, I typically love $2 tacos. I'm all about that. But this place is scum.

We waited in line for 20 minutes. Not because the guy was helping another customer...no he was replacing cheese that didn't need to be replaced. It was like half full. Second,  after he replaced the cheese he stuck some in his mouth and started eating it with his gloved hands. After the cheese he decided the ketchup bottles needed replacing too. All the while me and everyone behind me are watching this guy and getting more and more pissed.

After we called him out on that to change his gloves after sticking it in his mouth he decided to be a jerk and stick the hottest salsa they have on our tacos. I asked for mild, not suicide hot. Couldn't even eat my damn taco.

I am so pissed.",xiI5xCJhNLXUY1_8Y-Ehew,1,0,1,FlSiPPvYiqqDbKb8E_lLNg
3146882,2013-06-02,0,zrMpy_uQ5_77YapMkp8lUA,Great little tacos on Fremont St. Carne Asada tacos and spanish rice were good. Cheep eats and open late!,JsNkp-ZpmFCLjWgFfu_FFg,1,0,4,ISKCqa38r6nz-q8P2wo1Bg
3158143,2013-05-01,1,zrMpy_uQ5_77YapMkp8lUA,"The food really SUCKS. I agree with reviewer Bee B. I ordered 2 tacos, very small and no taste. I payed $5 for garbage food.",MjuZV5DMV87iDhkNrqQkPQ,3,0,1,00R5nn9n_eoyhYSevpw51g
3547900,2014-06-17,0,zrMpy_uQ5_77YapMkp8lUA,"Very pricey for what you get, but it's tasty. Service is slow, partly due to the fact that the customers in front of you are drunk.",lvOIhpz6X7-WxVk2PGdodA,1,0,2,IrrdY_PIJkPfnjUpSSQqew
3629695,2014-03-12,0,zrMpy_uQ5_77YapMkp8lUA,When they say hot it's hot. I'm sure some eat hotter but this is not tamed down. Carne Asada fries were yummo!,C1c5_jM4etF_Y-enPjxeQg,0,0,4,hb39i4uQ8bU7XF4eMW1rDQ
4286892,2014-04-06,1,zrMpy_uQ5_77YapMkp8lUA,"A small place right in the main hub of downtown Fremont St. This place serves tasty Mexican street food, but pricey due to a hot spot location. The burritos are $9 and you get to pick what kind of stuff do you want in it. They even let me put both carne asada and carnitas (i really wanted al pastor, but they ran out) meat mixed in for no extra charge, but wanted to charge more if I pick more than one hot sauce. It tasted good. Their Carne Asada Fries are bomb and is definitely the thing to get! No wonder the fries cost the most ($12). It must be the added nacho cheese that made it tasted better than the burritos. The food here is pretty spicy if you choose the hot option, but nothing painfully.",MX_sGTpLIQ0EOcvK73nRyA,3,1,4,jL8EKd0BFCZe87x8lvngAw
4796156,2013-02-20,2,zrMpy_uQ5_77YapMkp8lUA,"Any one who gives this place a good review must be really drunk. Terrible food. Thats all.

If you like the taste of paper and hot sauce you found the right place.

Enjoy.",MQciyEW0cWflRuLOdLvK7w,3,0,1,ZdCmmg-V5YGMv2ehdQNa5Q
4961633,2014-01-25,2,zrMpy_uQ5_77YapMkp8lUA,"I didn't have a good experience the one time I decided to eat here. We made it pretty clear what they wanted but their method of serving is a bit confusing. One of the stations is on the opposite end of where you order so if the person there doesn't hear you they don't start your order which is what happened to us. We ordered a fair amount of tacos and some quesadillas and went up to get our order when they called us. We ended up realizing that they gave us the wrong order after a few bites and mentioned it to them to be told ""well you shouldn't of bit into it if you knew it was wrong"" obviously we didnt know it was wrong in the first place or we wouldn't have and they shouldve been more attentive when calling us up for our order and handing us the wrong tacos. The kid then said, well if you weren't drunk you would've noticed. I had just opened my first beer of the night and laughed at this pathetic high school looking kid. Horrible service, lack of attention and abuse of customers. 

 Avoid this place like the plague.",-Eh94gMDNXl30WdDWyiI-A,1,0,1,Vm44CNxIH7U28NpeMwo-qA
5007365,2013-11-08,2,zrMpy_uQ5_77YapMkp8lUA,"Hit this place on a drunken walk back to the hotel....tacos!!! Who in their right....err...drunk mind, doesn't love a taco at 3am???? or was it 4???? Wayyyyyy overpriced, 4 tacos for 12.00 just doesn't add up. Carnitas was very good, better than expected. The chili's were all good...the ""Hot"" one will blow your socks off...so unless you want to be hanging on the ivory throne in burning agony....don't try.",oz4jGblG9BeiCXOCnUm8yA,2,1,3,jSrVt6tkVAT39wLHivyqoQ
5081589,2013-04-11,0,zrMpy_uQ5_77YapMkp8lUA,"Chicken burrito was good. I'm sure hot sauce would add to the flavor but I don't like hot sauce. Friendly service. The lady serving food was cleaning when not serving customers , which gets an  A++++ in my book.",25T3g5ml8w4zqq-npCZ0TA,0,0,4,7OsPPnmZK3JBv_u5op2ocw
